complaint_id,cluster_id,chain_accounts,cashout_account_id,pattern_used
CASE_000001,CLUSTER_0012,ACC_000815|ACC_000767|ACC_001308|ACC_000139,ACC_000139,A
CASE_000002,CLUSTER_0025,ACC_000590|ACC_001625|ACC_001288|ACC_000093,ACC_000093,D
CASE_000003,CLUSTER_0010,ACC_000493|ACC_001350|ACC_000052,ACC_000052,B
CASE_000004,CLUSTER_0020,ACC_000902|ACC_000480|ACC_000023|ACC_000480,ACC_000480,A
CASE_000005,CLUSTER_0020,ACC_000661|ACC_000480|ACC_000775|ACC_000480,ACC_000480,A
CASE_000006,CLUSTER_0008,ACC_001354|ACC_001507|ACC_001647,ACC_001647,B
CASE_000007,CLUSTER_0020,ACC_000526|ACC_000023|ACC_000480|ACC_000775,ACC_000775,B
CASE_000008,CLUSTER_0020,ACC_000719|ACC_000480|ACC_000775|ACC_000023,ACC_000023,E
CASE_000009,CLUSTER_0012,ACC_001398|ACC_000139|ACC_001308,ACC_001308,D
CASE_000010,CLUSTER_0010,ACC_000312|ACC_001350|ACC_000052,ACC_000052,A
CASE_000011,CLUSTER_0017,ACC_001599|ACC_001296|ACC_000819|ACC_001296,ACC_001296,D
CASE_000012,CLUSTER_0026,ACC_001320|ACC_001293|ACC_001349|ACC_001293,ACC_001293,B
CASE_000013,CLUSTER_0026,ACC_001113|ACC_001349|ACC_001629|ACC_001293|ACC_001629,ACC_001629,B
CASE_000014,CLUSTER_0015,ACC_000687|ACC_001267|ACC_001050,ACC_001050,B
CASE_000015,CLUSTER_0023,ACC_001081|ACC_000533|ACC_000287|ACC_000366,ACC_000366,A
CASE_000016,CLUSTER_0023,ACC_000243|ACC_000287|ACC_001335,ACC_001335,A
CASE_000017,CLUSTER_0025,ACC_001701|ACC_001625|ACC_000093,ACC_000093,A
CASE_000018,CLUSTER_0021,ACC_000263|ACC_000404|ACC_000659,ACC_000659,A
CASE_000019,CLUSTER_0012,ACC_000212|ACC_001308|ACC_000767|ACC_001308,ACC_001308,B
CASE_000020,CLUSTER_0027,ACC_000450|ACC_000880|ACC_000652,ACC_000652,D
CASE_000021,CLUSTER_0013,ACC_000865|ACC_001300|ACC_000011,ACC_000011,B
CASE_000022,CLUSTER_0010,ACC_000846|ACC_000052|ACC_001350,ACC_001350,D
CASE_000023,CLUSTER_0020,ACC_001513|ACC_000480|ACC_000775,ACC_000775,E
CASE_000024,CLUSTER_0026,ACC_001627|ACC_001238|ACC_001349,ACC_001349,B
CASE_000025,CLUSTER_0021,ACC_000512|ACC_000404|ACC_000659,ACC_000659,D
CASE_000026,CLUSTER_0021,ACC_001766|ACC_000659|ACC_000404,ACC_000404,A
CASE_000027,CLUSTER_0013,ACC_000789|ACC_000011|ACC_001300,ACC_001300,A
CASE_000028,CLUSTER_0023,ACC_001444|ACC_000366|ACC_001335|ACC_000366|ACC_000287,ACC_000287,E
CASE_000029,CLUSTER_0010,ACC_000065|ACC_001350|ACC_000052,ACC_000052,B
CASE_000030,CLUSTER_0008,ACC_001573|ACC_001507|ACC_001647,ACC_001647,A
CASE_000031,CLUSTER_0025,ACC_001450|ACC_001625|ACC_001288,ACC_001288,D
CASE_000032,CLUSTER_0020,ACC_000640|ACC_000023|ACC_000480|ACC_000775,ACC_000775,B
CASE_000033,CLUSTER_0025,ACC_000839|ACC_001288|ACC_001625,ACC_001625,A
CASE_000034,CLUSTER_0005,ACC_000344|ACC_001788|ACC_000782|ACC_000820,ACC_000820,A
CASE_000035,CLUSTER_0023,ACC_001162|ACC_000366|ACC_000533|ACC_000287,ACC_000287,D
CASE_000036,CLUSTER_0009,ACC_001450|ACC_000445|ACC_000664|ACC_000445,ACC_000445,B
CASE_000037,CLUSTER_0010,ACC_001095|ACC_000052|ACC_001350,ACC_001350,B
CASE_000038,CLUSTER_0010,ACC_000150|ACC_001350|ACC_000052,ACC_000052,B
CASE_000039,CLUSTER_0005,ACC_000695|ACC_001046|ACC_000820|ACC_000782|ACC_001788,ACC_001788,E
CASE_000040,CLUSTER_0027,ACC_000363|ACC_001117|ACC_000694|ACC_000652,ACC_000652,B
CASE_000041,CLUSTER_0021,ACC_001377|ACC_000404|ACC_000659,ACC_000659,B
CASE_000042,CLUSTER_0025,ACC_001621|ACC_001625|ACC_001288|ACC_001625|ACC_001288,ACC_001288,A
CASE_000043,CLUSTER_0010,ACC_001670|ACC_001350|ACC_000052,ACC_000052,D
CASE_000044,CLUSTER_0023,ACC_000363|ACC_000533|ACC_000267|ACC_000366,ACC_000366,B
CASE_000045,CLUSTER_0008,ACC_000216|ACC_001647|ACC_001507,ACC_001507,D
CASE_000046,CLUSTER_0010,ACC_000256|ACC_001350|ACC_000052,ACC_000052,B
CASE_000047,CLUSTER_0025,ACC_000129|ACC_001288|ACC_000093|ACC_001625,ACC_001625,D
CASE_000048,CLUSTER_0010,ACC_000877|ACC_000052|ACC_001350,ACC_001350,B
CASE_000049,CLUSTER_0024,ACC_000865|ACC_000378|ACC_001558|ACC_000709|ACC_001085,ACC_001085,D
CASE_000050,CLUSTER_0025,ACC_000796|ACC_001625|ACC_000093|ACC_001625,ACC_001625,A
CASE_000051,CLUSTER_0005,ACC_001321|ACC_001046|ACC_000782|ACC_001788,ACC_001788,B
CASE_000052,CLUSTER_0025,ACC_001263|ACC_001625|ACC_000093|ACC_001625,ACC_001625,A
CASE_000053,CLUSTER_0020,ACC_000488|ACC_000480|ACC_000023,ACC_000023,B
CASE_000054,CLUSTER_0021,ACC_001617|ACC_000659|ACC_000404,ACC_000404,D
CASE_000055,CLUSTER_0025,ACC_000603|ACC_001625|ACC_001288|ACC_000093|ACC_001625,ACC_001625,D
CASE_000056,CLUSTER_0021,ACC_001398|ACC_000404|ACC_000659,ACC_000659,D
CASE_000057,CLUSTER_0026,ACC_001045|ACC_001238|ACC_001293|ACC_001629|ACC_001365,ACC_001365,A
CASE_000058,CLUSTER_0025,ACC_001746|ACC_000467|ACC_000093|ACC_001288|ACC_000467,ACC_000467,A
CASE_000059,CLUSTER_0012,ACC_001148|ACC_000767|ACC_001308|ACC_000767,ACC_000767,E
CASE_000060,CLUSTER_0023,ACC_000158|ACC_000267|ACC_000366|ACC_001335|ACC_000267,ACC_000267,A
CASE_000061,CLUSTER_0015,ACC_000044|ACC_001267|ACC_001050,ACC_001050,B
CASE_000062,CLUSTER_0008,ACC_000303|ACC_001507|ACC_001647,ACC_001647,B
CASE_000063,CLUSTER_0013,ACC_001627|ACC_001300|ACC_000011,ACC_000011,D
CASE_000064,CLUSTER_0005,ACC_001266|ACC_001788|ACC_000309|ACC_000782,ACC_000782,A
CASE_000065,CLUSTER_0020,ACC_000498|ACC_000480|ACC_000023|ACC_000775,ACC_000775,B
CASE_000066,CLUSTER_0001,ACC_000540|ACC_000524|ACC_000091,ACC_000091,A
CASE_000067,CLUSTER_0010,ACC_000912|ACC_001350|ACC_000052,ACC_000052,B
CASE_000068,CLUSTER_0027,ACC_000131|ACC_000694|ACC_000652,ACC_000652,A
CASE_000069,CLUSTER_0025,ACC_000758|ACC_000093|ACC_001625,ACC_001625,D
CASE_000070,CLUSTER_0021,ACC_000804|ACC_000404|ACC_000659,ACC_000659,B
CASE_000071,CLUSTER_0027,ACC_001018|ACC_001117|ACC_000652,ACC_000652,D
CASE_000072,CLUSTER_0019,ACC_001576|ACC_000753|ACC_001690|ACC_000753,ACC_000753,D
CASE_000073,CLUSTER_0020,ACC_001664|ACC_000023|ACC_000775|ACC_000023,ACC_000023,B
CASE_000074,CLUSTER_0017,ACC_001722|ACC_001768|ACC_000819,ACC_000819,D
CASE_000075,CLUSTER_0005,ACC_000924|ACC_000782|ACC_001592|ACC_000820|ACC_000309,ACC_000309,B
CASE_000076,CLUSTER_0013,ACC_001646|ACC_001300|ACC_000011,ACC_000011,A
CASE_000077,CLUSTER_0020,ACC_000965|ACC_000775|ACC_000480|ACC_000775,ACC_000775,B
CASE_000078,CLUSTER_0020,ACC_000936|ACC_000023|ACC_000480,ACC_000480,B
CASE_000079,CLUSTER_0020,ACC_000078|ACC_000775|ACC_000480|ACC_000775,ACC_000775,B
CASE_000080,CLUSTER_0013,ACC_000032|ACC_001300|ACC_000011,ACC_000011,D
CASE_000081,CLUSTER_0023,ACC_000298|ACC_000533|ACC_000366|ACC_000533,ACC_000533,D
CASE_000082,CLUSTER_0026,ACC_000741|ACC_001365|ACC_001238,ACC_001238,A
CASE_000083,CLUSTER_0023,ACC_000736|ACC_000267|ACC_000533|ACC_000267,ACC_000267,D
CASE_000084,CLUSTER_0013,ACC_000806|ACC_001300|ACC_000011,ACC_000011,D
CASE_000085,CLUSTER_0012,ACC_000433|ACC_000139|ACC_001308|ACC_000139,ACC_000139,A
CASE_000086,CLUSTER_0025,ACC_001641|ACC_001288|ACC_000467,ACC_000467,D
CASE_000087,CLUSTER_0011,ACC_000219|ACC_000961|ACC_000190,ACC_000190,E
CASE_000088,CLUSTER_0008,ACC_000379|ACC_001507|ACC_001647,ACC_001647,B
CASE_000089,CLUSTER_0012,ACC_000897|ACC_001308|ACC_000139|ACC_001308,ACC_001308,A
CASE_000090,CLUSTER_0020,ACC_001786|ACC_000023|ACC_000480,ACC_000480,B
CASE_000091,CLUSTER_0001,ACC_000230|ACC_000068|ACC_000524|ACC_000068,ACC_000068,A
CASE_000092,CLUSTER_0010,ACC_000900|ACC_001350|ACC_000052,ACC_000052,A
CASE_000093,CLUSTER_0012,ACC_001586|ACC_001308|ACC_000767,ACC_000767,A
CASE_000094,CLUSTER_0020,ACC_000312|ACC_000480|ACC_000775|ACC_000480,ACC_000480,A
CASE_000095,CLUSTER_0023,ACC_000377|ACC_000267|ACC_000287|ACC_000533|ACC_001335,ACC_001335,D
CASE_000096,CLUSTER_0027,ACC_001094|ACC_001117|ACC_000652|ACC_000694,ACC_000694,A
CASE_000097,CLUSTER_0010,ACC_001095|ACC_001350|ACC_000052,ACC_000052,A
CASE_000098,CLUSTER_0023,ACC_000839|ACC_001335|ACC_000533,ACC_000533,E
CASE_000099,CLUSTER_0011,ACC_001529|ACC_000961|ACC_000190,ACC_000190,E
CASE_000100,CLUSTER_0020,ACC_000463|ACC_000023|ACC_000775,ACC_000775,B
CASE_000101,CLUSTER_0012,ACC_000791|ACC_000139|ACC_001308,ACC_001308,E
CASE_000102,CLUSTER_0019,ACC_000598|ACC_001690|ACC_000932|ACC_000753,ACC_000753,A
CASE_000103,CLUSTER_0020,ACC_001275|ACC_000775|ACC_000023|ACC_000480,ACC_000480,E
CASE_000104,CLUSTER_0026,ACC_000794|ACC_001293|ACC_001349|ACC_001629,ACC_001629,B
CASE_000105,CLUSTER_0012,ACC_000617|ACC_001308|ACC_000767,ACC_000767,A
CASE_000106,CLUSTER_0025,ACC_000312|ACC_001625|ACC_001288|ACC_000467,ACC_000467,D
CASE_000107,CLUSTER_0023,ACC_001030|ACC_000267|ACC_001335|ACC_000287|ACC_001335,ACC_001335,A
CASE_000108,CLUSTER_0020,ACC_000471|ACC_000480|ACC_000775|ACC_000480,ACC_000480,B
CASE_000109,CLUSTER_0023,ACC_001493|ACC_000533|ACC_000267,ACC_000267,A
CASE_000110,CLUSTER_0013,ACC_000755|ACC_001300|ACC_000011,ACC_000011,D
CASE_000111,CLUSTER_0021,ACC_001441|ACC_000659|ACC_000404,ACC_000404,D
CASE_000112,CLUSTER_0010,ACC_000791|ACC_000052|ACC_001350,ACC_001350,B
CASE_000113,CLUSTER_0023,ACC_000363|ACC_000267|ACC_000287|ACC_000366,ACC_000366,B
CASE_000114,CLUSTER_0013,ACC_001403|ACC_000011|ACC_001300,ACC_001300,D
CASE_000115,CLUSTER_0027,ACC_001176|ACC_001117|ACC_000880,ACC_000880,B
CASE_000116,CLUSTER_0017,ACC_000528|ACC_000819|ACC_001296|ACC_001768,ACC_001768,B
CASE_000117,CLUSTER_0025,ACC_000490|ACC_001288|ACC_000093,ACC_000093,D
CASE_000118,CLUSTER_0012,ACC_001635|ACC_001308|ACC_000767|ACC_001308,ACC_001308,B
CASE_000119,CLUSTER_0012,ACC_001264|ACC_000767|ACC_001308|ACC_000767,ACC_000767,A
CASE_000120,CLUSTER_0023,ACC_000321|ACC_000533|ACC_000287|ACC_000533|ACC_001335,ACC_001335,E
CASE_000121,CLUSTER_0025,ACC_001644|ACC_000093|ACC_001288|ACC_001625,ACC_001625,A
CASE_000122,CLUSTER_0020,ACC_001303|ACC_000775|ACC_000023,ACC_000023,B
CASE_000123,CLUSTER_0006,ACC_000131|ACC_001133|ACC_001065|ACC_001150|ACC_000342,ACC_000342,A
CASE_000124,CLUSTER_0013,ACC_000689|ACC_001300|ACC_000011,ACC_000011,E
CASE_000125,CLUSTER_0024,ACC_000377|ACC_000378|ACC_000709|ACC_001085,ACC_001085,D
CASE_000126,CLUSTER_0020,ACC_000368|ACC_000023|ACC_000480|ACC_000775,ACC_000775,B
CASE_000127,CLUSTER_0023,ACC_000257|ACC_000287|ACC_000533,ACC_000533,E
CASE_000128,CLUSTER_0015,ACC_001077|ACC_001267|ACC_001050,ACC_001050,E
CASE_000129,CLUSTER_0005,ACC_001245|ACC_001046|ACC_000309|ACC_001046|ACC_001592,ACC_001592,A
CASE_000130,CLUSTER_0021,ACC_000216|ACC_000404|ACC_000659,ACC_000659,D
CASE_000131,CLUSTER_0012,ACC_001517|ACC_000767|ACC_000139,ACC_000139,E
CASE_000132,CLUSTER_0020,ACC_001646|ACC_000023|ACC_000775|ACC_000480,ACC_000480,D
CASE_000133,CLUSTER_0025,ACC_000114|ACC_000093|ACC_000467|ACC_000093|ACC_001288,ACC_001288,A
CASE_000134,CLUSTER_0011,ACC_001187|ACC_000961|ACC_000190,ACC_000190,D
CASE_000135,CLUSTER_0013,ACC_000124|ACC_001300|ACC_000011,ACC_000011,B
CASE_000136,CLUSTER_0010,ACC_000405|ACC_001350|ACC_000052,ACC_000052,B
CASE_000137,CLUSTER_0005,ACC_001312|ACC_000820|ACC_001592,ACC_001592,B
CASE_000138,CLUSTER_0017,ACC_001464|ACC_001768|ACC_001296|ACC_001768,ACC_001768,A
CASE_000139,CLUSTER_0008,ACC_001148|ACC_001647|ACC_001507,ACC_001507,A
CASE_000140,CLUSTER_0012,ACC_001163|ACC_000767|ACC_000139|ACC_000767,ACC_000767,A
CASE_000141,CLUSTER_0025,ACC_000559|ACC_000467|ACC_001288|ACC_001625,ACC_001625,A
CASE_000142,CLUSTER_0005,ACC_001147|ACC_000782|ACC_000820|ACC_001592|ACC_000309,ACC_000309,A
CASE_000143,CLUSTER_0021,ACC_000199|ACC_000659|ACC_000404,ACC_000404,A
CASE_000144,CLUSTER_0015,ACC_000804|ACC_001267|ACC_001050,ACC_001050,E
CASE_000145,CLUSTER_0015,ACC_000112|ACC_001267|ACC_001050,ACC_001050,B
CASE_000146,CLUSTER_0020,ACC_000064|ACC_000480|ACC_000775|ACC_000023,ACC_000023,B
CASE_000147,CLUSTER_0013,ACC_001328|ACC_001300|ACC_000011,ACC_000011,D
CASE_000148,CLUSTER_0008,ACC_000798|ACC_001647|ACC_001507,ACC_001507,A
CASE_000149,CLUSTER_0025,ACC_001128|ACC_001288|ACC_000093|ACC_000467,ACC_000467,D
CASE_000150,CLUSTER_0010,ACC_001018|ACC_000052|ACC_001350,ACC_001350,A
CASE_000151,CLUSTER_0023,ACC_000423|ACC_000287|ACC_001335|ACC_000366|ACC_000267,ACC_000267,D
CASE_000152,CLUSTER_0023,ACC_001404|ACC_000533|ACC_000267|ACC_000533|ACC_000366,ACC_000366,A
CASE_000153,CLUSTER_0010,ACC_000550|ACC_000052|ACC_001350,ACC_001350,A
CASE_000154,CLUSTER_0010,ACC_000286|ACC_001350|ACC_000052,ACC_000052,B
CASE_000155,CLUSTER_0025,ACC_000974|ACC_001288|ACC_001625,ACC_001625,D
CASE_000156,CLUSTER_0005,ACC_000555|ACC_000820|ACC_001788|ACC_000782,ACC_000782,D
CASE_000157,CLUSTER_0017,ACC_001720|ACC_001296|ACC_000819|ACC_001768,ACC_001768,D
CASE_000158,CLUSTER_0006,ACC_000124|ACC_000342|ACC_001133,ACC_001133,D
CASE_000159,CLUSTER_0017,ACC_000180|ACC_000819|ACC_001768|ACC_000819,ACC_000819,B
CASE_000160,CLUSTER_0010,ACC_000236|ACC_000052|ACC_001350,ACC_001350,A
CASE_000161,CLUSTER_0025,ACC_000134|ACC_000093|ACC_001625,ACC_001625,A
CASE_000162,CLUSTER_0013,ACC_000108|ACC_001300|ACC_000011,ACC_000011,D
CASE_000163,CLUSTER_0023,ACC_000312|ACC_000287|ACC_000533|ACC_000287,ACC_000287,B
CASE_000164,CLUSTER_0015,ACC_001682|ACC_001050|ACC_001267,ACC_001267,A
CASE_000165,CLUSTER_0020,ACC_000796|ACC_000023|ACC_000480|ACC_000775,ACC_000775,A
CASE_000166,CLUSTER_0021,ACC_001651|ACC_000659|ACC_000404,ACC_000404,A
CASE_000167,CLUSTER_0021,ACC_001767|ACC_000659|ACC_000404,ACC_000404,D
CASE_000168,CLUSTER_0025,ACC_000862|ACC_000467|ACC_001288,ACC_001288,D
CASE_000169,CLUSTER_0013,ACC_000199|ACC_000011|ACC_001300,ACC_001300,D
CASE_000170,CLUSTER_0020,ACC_001212|ACC_000023|ACC_000480|ACC_000023,ACC_000023,B
CASE_000171,CLUSTER_0025,ACC_000984|ACC_000467|ACC_000093,ACC_000093,A
CASE_000172,CLUSTER_0013,ACC_000857|ACC_000011|ACC_001300,ACC_001300,D
CASE_000173,CLUSTER_0010,ACC_000435|ACC_000052|ACC_001350,ACC_001350,A
CASE_000174,CLUSTER_0012,ACC_000243|ACC_000139|ACC_001308,ACC_001308,A
CASE_000175,CLUSTER_0013,ACC_000350|ACC_001300|ACC_000011,ACC_000011,D
CASE_000176,CLUSTER_0010,ACC_000038|ACC_001350|ACC_000052,ACC_000052,A
CASE_000177,CLUSTER_0010,ACC_001101|ACC_000052|ACC_001350,ACC_001350,A
CASE_000178,CLUSTER_0005,ACC_001553|ACC_001046|ACC_001788|ACC_000782|ACC_001592,ACC_001592,A
CASE_000179,CLUSTER_0011,ACC_000522|ACC_000190|ACC_000961,ACC_000961,A
CASE_000180,CLUSTER_0025,ACC_000974|ACC_000467|ACC_001288|ACC_001625,ACC_001625,D
CASE_000181,CLUSTER_0021,ACC_001377|ACC_000404|ACC_000659,ACC_000659,D
CASE_000182,CLUSTER_0013,ACC_000512|ACC_001300|ACC_000011,ACC_000011,D
CASE_000183,CLUSTER_0023,ACC_001599|ACC_000287|ACC_000366|ACC_000287,ACC_000287,D
CASE_000184,CLUSTER_0021,ACC_000916|ACC_000404|ACC_000659,ACC_000659,B
CASE_000185,CLUSTER_0010,ACC_001258|ACC_001350|ACC_000052,ACC_000052,A
CASE_000186,CLUSTER_0021,ACC_001447|ACC_000659|ACC_000404,ACC_000404,D
