withdrawal_id,complaint_id,account_id,atm_id,withdrawal_timestamp,withdrawal_amount,latitude,longitude,time_since_fraud,time_since_last_transfer,withdrawal_sequence,withdrawal_success
WD_000001,CASE_000001,ACC_000139,ATM_000308,2024-12-07 08:07:09.901000011,2633.49,17.31968721122498,78.54327250009126,8.405,6.307,1,1
WD_000002,CASE_000002,ACC_000093,ATM_000118,2024-11-09 11:56:05.229838183,35579.98,13.134732197921853,80.33347937040632,4.726,4.072,1,1
WD_000003,CASE_000003,ACC_000052,ATM_000327,2024-01-06 11:58:59.412129753,33852.93,22.99589851238561,72.57126086103086,8.681,7.991,1,0
WD_000004,CASE_000004,ACC_000480,ATM_000024,2026-06-13 21:28:26.845417744,3792.69,26.909515646004493,75.7819370692034,2.547,0.979,1,1
WD_000005,CASE_000005,ACC_000480,ATM_000046,2025-07-07 06:13:32.984125688,1048.37,23.081528414336862,72.51810777211162,17.582,17.027,1,1
WD_000006,CASE_000006,ACC_001647,ATM_000031,2025-01-01 18:30:29.776735515,82651.89,22.495626098117945,88.29425663931455,5.995,5.168,1,1
WD_000007,CASE_000007,ACC_000775,ATM_000178,2025-05-10 14:58:51.793416160,14254.32,22.6681438064313,75.89798883939375,6.02,4.842,1,1
WD_000008,CASE_000008,ACC_000023,ATM_000242,2024-02-07 00:46:02.722645075,812.56,22.52969807378482,88.2824569449239,2.684,1.594,1,1
WD_000009,CASE_000009,ACC_001308,ATM_000181,2024-06-07 22:13:38.259747337,6017.56,26.966187974153172,75.78297340833223,17.523,16.903,1,1
WD_000010,CASE_000010,ACC_000052,ATM_000340,2025-07-22 02:35:12.848212241,165462.76,26.825566074193386,80.90162280571303,5.446,4.301,1,1
WD_000011,CASE_000011,ACC_001296,ATM_000055,2025-04-13 15:12:13.214861452,1690.02,13.085036148706607,80.28059344946895,3.385,1.211,1,1
WD_000012,CASE_000012,ACC_001293,ATM_000067,2025-12-18 03:19:22.294326201,2170.39,13.018204834127848,77.54074468340339,2.719,1.352,1,0
WD_000013,CASE_000013,ACC_001629,ATM_000244,2025-08-23 09:39:14.108915961,1011.09,12.958407667174459,77.57238012769452,6.904,5.071,1,1
WD_000014,CASE_000014,ACC_001050,ATM_000178,2025-07-01 23:22:34.191867655,47956.49,22.6681438064313,75.89798883939375,1.587,0.552,1,0
WD_000015,CASE_000015,ACC_000366,ATM_000148,2026-01-12 18:58:24.987455357,10142.31,12.97674521141251,77.58745947170766,2.004,0.885,1,1
WD_000016,CASE_000016,ACC_001335,ATM_000240,2024-03-03 06:35:06.567495199,33413.72,19.14182262226751,72.94805715683843,2.081,1.029,1,1
WD_000017,CASE_000017,ACC_000093,ATM_000190,2025-09-21 12:03:56.951280207,8524.88,18.521139899391553,73.85397954333075,2.517,2.077,1,1
WD_000018,CASE_000018,ACC_000659,ATM_000062,2025-10-14 00:29:42.375320117,20624.77,12.969744704543817,77.57861234021964,2.82,1.541,1,1
WD_000019,CASE_000019,ACC_001308,ATM_000198,2024-09-08 02:56:54.513224845,2592.75,26.980908442155847,75.78841459480564,10.773,8.677,1,1
WD_000020,CASE_000020,ACC_000652,ATM_000199,2024-06-27 08:13:34.430450338,2402.24,19.139049059135743,73.02502301321114,2.543,1.717,1,1
WD_000021,CASE_000021,ACC_000011,ATM_000313,2024-07-14 05:05:26.843725665,10445.74,18.456075024739004,73.79326097893265,9.42,8.81,1,1
WD_000022,CASE_000022,ACC_001350,ATM_000014,2024-06-30 02:35:14.330719579,27753.06,22.93891637098737,72.51796872006797,14.435,13.051,1,1
WD_000023,CASE_000023,ACC_000775,ATM_000276,2025-04-22 08:06:31.504892388,10340.92,28.59530661848684,77.2524303496254,4.135,2.932,1,1
WD_000024,CASE_000024,ACC_001349,ATM_000244,2024-05-03 15:56:30.341624390,1817.65,12.958407667174459,77.57238012769452,2.608,1.041,1,0
WD_000025,CASE_000025,ACC_000659,ATM_000086,2025-08-23 18:59:48.546143454,5937.52,19.043575603739146,72.91107028466806,4.371,3.967,1,1
WD_000026,CASE_000026,ACC_000404,ATM_000087,2024-04-05 18:43:02.347746812,887.94,13.04237547348726,80.30318609124991,1.286,0.924,1,1
WD_000027,CASE_000027,ACC_001300,ATM_000282,2024-01-25 19:52:37.227837410,362.08,19.051630192585513,73.01765242288891,7.962,6.54,1,1
WD_000028,CASE_000028,ACC_000287,ATM_000184,2024-10-18 04:22:38.932773385,6997.69,19.955240651529998,73.79874250651875,7.416,6.18,1,1
WD_000029,CASE_000029,ACC_000052,ATM_000241,2024-06-24 01:39:40.812417640,3106.22,23.089526498005423,72.61873155555956,6.84,5.322,1,1
WD_000030,CASE_000030,ACC_001647,ATM_000056,2026-06-20 03:34:52.778193146,3351.15,22.553114682698816,88.36795275956757,11.474,10.64,1,0
WD_000031,CASE_000031,ACC_001288,ATM_000223,2024-10-03 10:58:21.045301203,11547.23,13.189103767144722,80.26507209306659,10.261,8.507,1,1
WD_000032,CASE_000032,ACC_000775,ATM_000386,2024-07-21 08:39:49.117661413,43162.76,22.7369288913546,75.81971944977604,1.454,0.255,1,1
WD_000033,CASE_000033,ACC_001625,ATM_000344,2024-06-28 12:36:29.505751252,12335.89,17.385057689163343,78.48657407288304,6.433,5.278,1,1
WD_000034,CASE_000034,ACC_000820,ATM_000022,2024-12-07 15:56:54.438820771,40992.41,21.142560585113028,79.08585332554065,26.029,24.05,1,1
WD_000035,CASE_000035,ACC_000287,ATM_000167,2025-07-06 04:07:23.229842053,14879.92,23.10143671627846,72.54542993473302,5.843,3.499,1,1
WD_000036,CASE_000036,ACC_000445,ATM_000331,2025-12-14 16:46:23.871818062,2831.21,22.606391122932326,88.3637670790471,32.322,30.0,1,1
WD_000037,CASE_000037,ACC_001350,ATM_000241,2024-11-28 08:43:16.501278229,5660.25,23.089526498005423,72.61873155555956,5.626,4.881,1,1
WD_000038,CASE_000038,ACC_000052,ATM_000073,2025-07-25 00:02:59.108627591,1036.71,23.035278731188015,72.56957719916596,17.82,16.176,1,1
WD_000039,CASE_000039,ACC_001788,ATM_000193,2025-03-16 02:09:32.797525856,5775.6,19.227301543694644,72.94420584887054,22.401,21.193,1,1
WD_000040,CASE_000040,ACC_000652,ATM_000273,2026-02-10 06:22:54.195643630,1241.94,18.9747741925689,72.91706664148816,2.607,1.102,1,1
WD_000041,CASE_000041,ACC_000659,ATM_000176,2025-06-02 13:05:30.228548454,6612.29,19.033545538500235,72.84141876415256,3.562,2.162,1,1
WD_000042,CASE_000042,ACC_001288,ATM_000335,2024-09-21 07:45:52.376157093,2089.67,19.224773403021103,72.97708756153456,5.573,4.062,1,1
WD_000043,CASE_000043,ACC_000052,ATM_000046,2025-10-03 06:28:03.534180509,2515.85,23.081528414336862,72.51810777211162,7.236,5.743,1,1
WD_000044,CASE_000044,ACC_000366,ATM_000151,2026-01-17 03:50:59.548348146,3700.91,22.9727121741609,72.56078065791901,1.96,1.317,1,1
WD_000045,CASE_000045,ACC_001507,ATM_000180,2025-02-28 10:33:37.587978589,167296.33,22.586746422822937,88.40071491243924,10.166,8.207,1,0
WD_000046,CASE_000046,ACC_000052,ATM_000014,2026-06-18 21:24:44.587173011,13619.83,22.93891637098737,72.51796872006797,13.332,11.422,1,1
WD_000047,CASE_000047,ACC_001625,ATM_000004,2026-03-12 04:03:34.828434006,6494.71,13.072762724653366,80.26387571924367,7.486,5.882,1,1
WD_000048,CASE_000048,ACC_001350,ATM_000280,2024-06-29 03:07:12.070652884,5461.18,23.002582842473544,72.60846343532445,16.903,15.8,1,1
WD_000049,CASE_000049,ACC_001085,ATM_000356,2025-12-18 00:35:14.358265600,325.05,12.994088595745303,77.60502311695032,6.957,3.657,1,0
WD_000050,CASE_000050,ACC_001625,ATM_000130,2025-07-01 23:56:12.933942031,28891.97,17.381863535499495,78.45162698844055,12.739,11.018,1,1
WD_000051,CASE_000051,ACC_001788,ATM_000370,2025-05-02 13:59:30.046590092,7695.78,26.96837587549417,75.82867978776605,8.877,5.951,1,1
WD_000052,CASE_000052,ACC_001625,ATM_000087,2025-04-13 12:02:30.032369821,1070.59,13.04237547348726,80.30318609124991,7.288,5.604,1,1
WD_000053,CASE_000053,ACC_000023,ATM_000178,2026-02-16 13:20:19.169378998,8965.93,22.6681438064313,75.89798883939375,2.357,1.793,1,0
WD_000054,CASE_000054,ACC_000404,ATM_000240,2025-07-10 14:26:26.195751987,7564.23,19.14182262226751,72.94805715683843,2.318,1.719,1,1
WD_000055,CASE_000055,ACC_001625,ATM_000333,2025-05-05 02:47:54.866849047,6045.25,13.092670157524704,80.27767499995733,6.395,4.122,1,1
WD_000056,CASE_000056,ACC_000659,ATM_000086,2024-02-14 15:26:56.593889038,2556.74,19.043575603739146,72.91107028466806,3.176,1.942,1,1
WD_000057,CASE_000057,ACC_001365,ATM_000058,2025-02-12 13:20:54.996136271,1958.7,17.42078761520513,78.45075277349024,3.655,0.828,1,1
WD_000058,CASE_000058,ACC_000467,ATM_000075,2026-04-07 11:19:21.242795493,55964.55,19.07023940137228,72.84648047877309,5.902,2.738,1,1
WD_000059,CASE_000059,ACC_000767,ATM_000368,2025-10-10 14:40:31.063189845,2040.58,13.079418730512336,80.26985889826781,5.263,3.088,1,1
WD_000060,CASE_000060,ACC_000267,ATM_000062,2024-02-16 15:13:13.940239931,8777.85,12.969744704543817,77.57861234021964,5.163,2.561,1,1
WD_000061,CASE_000061,ACC_001050,ATM_000297,2026-03-17 02:43:04.633968306,5723.21,22.735203387378554,75.94304101477319,19.111,18.102,1,1
WD_000062,CASE_000062,ACC_001647,ATM_000346,2026-01-23 05:30:47.318960245,59441.82,22.549604170475213,88.41551566084136,3.261,2.368,1,1
WD_000063,CASE_000063,ACC_000011,ATM_000146,2025-05-13 07:24:15.235648705,1005.61,18.521843319164628,73.90778304556412,6.701,6.087,1,1
WD_000064,CASE_000064,ACC_000782,ATM_000096,2024-01-22 01:40:19.892696272,7285.19,17.42854028389265,78.44441128823419,15.799,14.893,1,1
WD_000065,CASE_000065,ACC_000775,ATM_000386,2025-05-27 16:27:03.765706564,875.22,22.7369288913546,75.81971944977604,7.49,5.23,1,1
WD_000066,CASE_000066,ACC_000091,ATM_000105,2024-02-19 18:57:28.179417980,2400.89,22.627019730360914,88.348504386611,1.423,1.259,1,1
WD_000067,CASE_000067,ACC_000052,ATM_000280,2024-10-19 02:13:26.087825519,65670.98,23.002582842473544,72.60846343532445,5.458,2.403,1,1
WD_000068,CASE_000068,ACC_000652,ATM_000121,2025-07-27 04:35:12.226559825,1612.78,17.460934753635037,78.54223338719872,6.107,5.476,1,1
WD_000069,CASE_000069,ACC_001625,ATM_000004,2026-04-12 02:55:27.656560435,7678.4,13.072762724653366,80.26387571924367,10.993,10.044,1,1
WD_000070,CASE_000070,ACC_000659,ATM_000176,2024-11-22 00:19:24.246306026,22163.05,19.033545538500235,72.84141876415256,1.48,0.505,1,1
WD_000071,CASE_000071,ACC_000652,ATM_000026,2026-02-22 14:36:47.733779066,6460.72,19.119083215737124,73.0401359973329,3.053,2.244,1,1
WD_000072,CASE_000072,ACC_000753,ATM_000172,2026-04-17 01:20:03.533493602,22424.77,13.061272055904244,77.61218651410661,10.289,8.804,1,1
WD_000073,CASE_000073,ACC_000023,ATM_000386,2024-01-20 08:20:35.046273981,7955.71,22.7369288913546,75.81971944977604,4.24,2.815,1,1
