account_id,account_type,bank_name,account_age_months,city,state,risk_history,prior_complaint_count,prior_withdrawal_count,linked_account_count,linked_upi_count,is_synthetic_mule,mule_role,first_seen_timestamp,last_activity_timestamp
ACC_000001,ordinary_recipient,Kotak Mahindra Bank,220,Surat,Gujarat,none,0,0,1,1,0,none,2026-05-31 05:01:45.379779816,2026-06-14 01:57:27.696802481
ACC_000002,ordinary_recipient,Union Bank of India,193,Pune,Maharashtra,none,0,2,1,1,0,none,2026-04-16 13:11:45.915801451,2026-05-21 09:59:51.297306929
ACC_000003,mule,SBI,55,Hyderabad,Telangana,none,0,6,3,2,1,cashout_mule,2025-03-15 21:14:00.179456130,2026-03-17 16:27:39.801773269
ACC_000004,intermediary,Canara Bank,65,Mumbai,Maharashtra,none,3,1,1,1,1,intermediary_mule,2025-05-28 17:59:32.654894710,2025-07-11 14:03:33.608180158
ACC_000005,intermediary,Yes Bank,126,Mumbai,Maharashtra,none,3,0,1,1,1,intermediary_mule,2025-05-13 09:44:50.521404742,2025-06-13 06:20:20.464695098
ACC_000006,victim,IDFC First Bank,24,Navi Mumbai,Maharashtra,prior_flagged,0,0,0,1,0,none,2025-11-26 12:39:44.804944813,2025-12-18 07:16:08.564296035
ACC_000007,ordinary_recipient,Axis Bank,122,Mumbai,Maharashtra,none,0,0,2,1,0,none,2025-03-08 06:09:36.889849529,2026-06-27 17:59:57.640292260
ACC_000008,ordinary_recipient,HDFC Bank,44,Bengaluru,Karnataka,none,0,0,0,1,0,none,2024-04-21 17:11:08.178779850,2026-05-02 18:29:45.906782836
ACC_000009,victim,IndusInd Bank,187,Delhi,Delhi,none,0,0,3,1,0,none,2024-10-22 10:07:58.896383084,2025-12-27 16:01:00.795195375
ACC_000010,high_volume,HDFC Bank,39,Ahmedabad,Gujarat,none,1,0,4,2,0,none,2025-06-01 16:47:14.359608486,2025-11-24 17:16:02.726682333
ACC_000011,mule,Bank of Baroda,10,Mumbai,Maharashtra,none,3,1,3,1,1,first_hop_mule,2024-11-15 19:53:25.548102334,2025-01-05 02:53:24.318785139
ACC_000012,mule,IDFC First Bank,184,Delhi,Delhi,none,1,2,0,1,1,first_hop_mule,2026-01-11 03:25:25.915944837,2026-05-30 13:52:03.545489601
