complaint_id,reported_loss_amount,amount_deviation_z,transaction_count_deviation,velocity_1h,velocity_24h,unusual_time_of_day,new_beneficiary_anomaly,sudden_degree_change,is_otp_shared,clicked_malicious_link,urgency_score
CASE_000001,6905.5,-0.0736,3,0,6,1,0,0,1,0,0.761
CASE_000002,59737.32,0.4943,-1,2,2,0,0,0,0,0,0.38
CASE_000003,80208.3,0.7144,-1,2,2,1,0,0,0,0,0.679
CASE_000004,8368.9,-0.0579,0,1,3,0,0,0,1,0,0.326
CASE_000005,2668.06,-0.1191,0,0,3,0,1,0,1,1,0.313
CASE_000007,30087.25,0.1756,2,0,5,0,0,0,1,1,0.843
CASE_000008,1991.06,-0.1264,0,3,3,0,0,0,1,1,0.614
CASE_000009,9967.43,-0.0407,-1,0,2,0,0,0,0,0,0.626
CASE_000010,308288.17,3.1662,-1,2,2,0,0,1,0,0,0.817
CASE_000012,7876.34,-0.0632,0,2,3,1,0,0,0,0,0.291
CASE_000015,25148.04,0.1225,-1,2,2,0,0,0,1,0,0.107
CASE_000019,5060.46,-0.0934,0,2,3,0,0,0,0,0,0.705
CASE_000021,21715.09,0.0856,-1,0,2,0,0,0,0,0,0.748
CASE_000022,54339.85,0.4363,-2,1,1,0,1,1,0,1,0.112
CASE_000024,5968.55,-0.0837,-1,2,2,0,1,0,1,0,0.883
CASE_000025,10619.86,-0.0337,-1,2,2,0,0,0,0,1,0.571
CASE_000027,770.42,-0.1395,0,0,3,0,0,0,0,0,0.977
CASE_000028,24697.95,0.1177,1,0,4,1,0,0,0,1,0.872
CASE_000029,4587.57,-0.0985,-1,0,2,0,0,0,0,0,0.313
CASE_000030,7423.76,-0.068,0,2,3,0,0,0,1,1,0.917
CASE_000031,27155.95,0.1441,2,0,5,1,0,0,0,0,0.898
CASE_000033,17817.51,0.0437,0,0,3,0,0,0,1,1,0.651
CASE_000034,82526.94,0.7393,1,0,4,0,1,0,0,1,0.243
CASE_000035,34410.09,0.2221,1,4,4,0,0,0,0,1,0.396
CASE_000036,16560.18,0.0302,0,0,3,0,0,0,1,0,0.34
CASE_000037,15471.41,0.0185,-1,0,2,0,0,0,0,0,0.437
CASE_000038,2647.22,-0.1194,-1,0,2,0,0,0,1,0,0.245
CASE_000039,28327.79,0.1567,1,0,4,0,0,0,0,1,0.318
CASE_000040,2351.36,-0.1226,2,1,5,0,0,0,1,0,0.834
CASE_000042,10149.94,-0.0387,1,0,4,1,0,0,1,1,0.589
CASE_000043,5397.15,-0.0898,-1,0,2,1,0,0,1,0,0.513
CASE_000045,209595.03,2.1052,2,0,5,0,0,0,1,1,0.889
CASE_000046,36670.81,0.2464,-1,0,2,0,0,0,1,0,0.215
CASE_000048,5904.54,-0.0844,1,0,4,0,0,0,0,1,0.776
CASE_000049,2672.06,-0.1191,0,2,3,0,0,0,0,0,0.434
CASE_000050,75226.3,0.6608,0,1,3,0,0,0,0,1,0.749
CASE_000051,26319.0,0.1351,-1,0,2,0,0,0,0,0,0.877
CASE_000052,3185.95,-0.1136,0,2,3,0,0,0,1,0,0.735
CASE_000055,28551.22,0.1591,3,0,6,1,0,0,0,0,0.46
CASE_000056,9129.9,-0.0497,2,0,5,0,0,0,1,1,0.21
CASE_000057,6568.64,-0.0772,1,3,4,0,0,1,1,1,0.473
CASE_000058,246350.49,2.5003,-1,1,2,0,0,0,1,0,0.403
CASE_000059,9969.09,-0.0407,0,0,3,0,0,0,1,0,0.536
CASE_000060,26208.51,0.1339,-3,0,0,0,0,1,0,0,0.617
CASE_000061,9840.81,-0.042,2,0,5,0,1,0,0,1,0.366
CASE_000062,73988.4,0.6475,0,0,3,1,0,0,1,0,0.911
CASE_000063,1995.82,-0.1264,1,0,4,0,0,0,1,1,0.39
CASE_000064,20837.07,0.0762,3,0,6,0,0,0,1,1,0.899
CASE_000065,2881.91,-0.1168,1,0,4,0,0,0,1,0,0.678
CASE_000069,23989.99,0.1101,1,0,4,0,0,0,1,1,0.347
CASE_000072,29529.46,0.1696,0,0,3,0,1,0,0,0,0.57
CASE_000073,17750.95,0.043,0,3,3,0,0,0,0,1,0.427
CASE_000074,11249.52,-0.0269,-1,0,2,0,0,0,1,0,0.569
CASE_000075,22591.91,0.095,4,0,7,0,0,0,1,1,0.209
CASE_000076,209724.77,2.1066,-1,2,2,0,0,1,0,0,0.423
CASE_000077,8837.78,-0.0528,0,1,3,0,0,1,0,1,0.804
CASE_000078,3790.26,-0.1071,-2,1,1,0,0,0,0,0,0.703
CASE_000079,3230.18,-0.1131,-1,2,2,0,0,0,1,1,0.691
CASE_000081,34279.55,0.2207,0,0,3,0,0,0,0,1,0.933
CASE_000082,5482.19,-0.0889,2,0,5,0,0,0,0,0,0.451
CASE_000083,2643.88,-0.1194,1,0,4,0,0,0,1,0,0.655
CASE_000084,4711.53,-0.0972,-1,0,2,1,0,0,0,0,0.752
CASE_000085,18081.41,0.0465,0,2,3,0,0,0,1,0,0.58
CASE_000086,9196.74,-0.049,-1,2,2,0,0,0,1,0,0.47
CASE_000087,42240.95,0.3062,-1,2,2,0,0,0,0,0,0.749
CASE_000090,18767.37,0.0539,1,0,4,0,0,0,0,0,0.46
CASE_000092,11789.59,-0.0211,2,0,5,0,0,0,0,0,0.251
CASE_000093,49336.74,0.3825,-1,2,2,0,0,0,0,0,0.608
CASE_000097,23639.14,0.1063,1,2,4,0,0,1,0,1,0.283
CASE_000098,98742.92,0.9136,-3,0,0,0,0,0,0,1,0.337
CASE_000099,28155.68,0.1548,-1,2,2,1,0,1,0,0,0.481
CASE_000100,3422.83,-0.111,-1,0,2,1,0,0,0,0,0.519
CASE_000101,11352.24,-0.0258,-1,0,2,0,0,0,0,1,0.635
CASE_000103,12190.48,-0.0168,0,0,3,0,0,0,1,0,0.516
CASE_000104,8651.95,-0.0548,0,1,3,0,0,0,0,0,0.187
CASE_000105,10063.37,-0.0397,1,0,4,1,0,0,0,1,0.387
CASE_000107,1574.4,-0.1309,1,0,4,0,0,0,1,0,0.372
CASE_000108,500.0,-0.1425,0,2,3,1,0,1,0,0,0.708
CASE_000110,355710.63,3.6759,-1,0,2,0,0,0,1,0,0.643
CASE_000112,3711.74,-0.1079,-1,0,2,0,0,0,1,0,0.487
CASE_000113,12838.5,-0.0098,2,0,5,0,0,0,0,0,0.5
CASE_000115,8179.96,-0.0599,-1,0,2,0,0,0,0,1,0.833
CASE_000117,8495.24,-0.0565,-1,0,2,1,0,0,1,1,0.562
CASE_000118,8097.37,-0.0608,2,1,5,0,1,0,0,1,0.525
CASE_000120,20527.86,0.0728,3,0,6,1,0,0,0,0,0.302
CASE_000121,6832.4,-0.0744,1,0,4,0,0,0,1,0,0.296
CASE_000122,11329.13,-0.026,1,4,4,0,0,0,0,1,0.692
CASE_000123,5348.61,-0.0903,4,0,7,0,1,0,0,0,0.426
CASE_000124,2480.87,-0.1212,1,0,4,0,0,0,0,0,0.98
CASE_000125,1902.89,-0.1274,0,0,3,0,0,0,1,1,0.871
CASE_000126,22236.33,0.0912,0,3,3,0,0,0,0,0,0.566
CASE_000128,1263.66,-0.1342,1,4,4,0,0,0,1,0,0.866
CASE_000129,25854.02,0.1301,-2,0,1,0,1,0,1,0,0.703
CASE_000131,67624.59,0.5791,-1,2,2,0,0,0,1,1,0.323
CASE_000132,9424.64,-0.0465,-2,1,1,0,0,0,1,0,0.768
CASE_000133,27228.54,0.1449,-1,2,2,1,1,0,1,0,0.174
CASE_000134,36068.3,0.2399,2,0,5,0,0,1,0,0,0.483
CASE_000135,3808.11,-0.1069,2,5,5,0,0,0,0,0,0.933
CASE_000136,11836.72,-0.0206,-1,1,2,0,0,0,0,0,0.446
CASE_000137,12735.39,-0.0109,1,0,4,0,0,0,0,0,0.872
CASE_000138,11238.5,-0.027,0,0,3,0,0,0,0,0,0.784
CASE_000139,14723.66,0.0104,-1,0,2,0,0,0,0,0,0.462
CASE_000140,8023.83,-0.0616,0,0,3,0,1,0,0,0,0.507
CASE_000141,18204.79,0.0479,-1,2,2,1,0,0,1,0,0.31
CASE_000142,5797.72,-0.0855,4,0,7,0,0,0,1,0,0.585
