atm_id,atm_name,bank_name,state,district,city,area,pincode,latitude,longitude,location_type
ATM_000001,SBI Mall ATM 1,SBI,West Bengal,Kolkata,Kolkata,Area-27,53857,22.570259981191402,88.32864222600998,Mall ATM
ATM_000002,Kotak Mahindra Bank Bank Branch ATM 2,Kotak Mahindra Bank,Delhi,New Delhi,Delhi,Area-37,41501,28.57323762217617,77.31218533657218,Bank Branch ATM
ATM_000003,Union Bank of India Residential Complex ATM 3,Union Bank of India,Rajasthan,Jaipur,Jaipur,Area-10,74956,26.977487381625732,75.7269303823776,Residential Complex ATM
ATM_000004,Kotak Mahindra Bank Bus Terminal ATM 4,Kotak Mahindra Bank,Tamil Nadu,Chennai,Chennai,Area-37,50685,13.072762724653366,80.26387571924367,Bus Terminal ATM
ATM_000005,Punjab National Bank Bank Branch ATM 5,Punjab National Bank,Maharashtra,Mumbai City,Mumbai,Area-55,48204,19.15172421032615,72.9588642711249,Bank Branch ATM
ATM_000006,IDFC First Bank Bus Terminal ATM 6,IDFC First Bank,Madhya Pradesh,Indore,Indore,Area-8,55895,22.778458741462313,75.93860984345183,Bus Terminal ATM
ATM_000007,Punjab National Bank Residential Complex ATM 7,Punjab National Bank,West Bengal,Kolkata,Kolkata,Area-20,69539,22.561858355993618,88.33276292163383,Residential Complex ATM
ATM_000008,Union Bank of India Bank Branch ATM 8,Union Bank of India,West Bengal,Kolkata,Kolkata,Area-41,52227,22.614712896346877,88.45062002814181,Bank Branch ATM
ATM_000009,Bank of Baroda University ATM 9,Bank of Baroda,Maharashtra,Thane,Thane,Area-37,51237,19.20680726138619,72.97754191653533,University ATM
ATM_000010,SBI Standalone Kiosk 10,SBI,Delhi,New Delhi,Delhi,Area-40,48718,28.72176710087986,77.2026438997545,Standalone Kiosk
ATM_000011,Kotak Mahindra Bank Hospital ATM 11,Kotak Mahindra Bank,Delhi,New Delhi,Delhi,Area-34,45142,28.68584310331269,77.21106403513465,Hospital ATM
ATM_000012,SBI Residential Complex ATM 12,SBI,Uttar Pradesh,Lucknow,Lucknow,Area-41,63357,26.916602762836686,80.95439138923042,Residential Complex ATM
ATM_000013,IndusInd Bank Hospital ATM 13,IndusInd Bank,Telangana,Hyderabad,Hyderabad,Area-36,59225,17.39476814761355,78.48625496868215,Hospital ATM
ATM_000014,Canara Bank Residential Complex ATM 14,Canara Bank,Gujarat,Ahmedabad,Ahmedabad,Area-5,49496,22.93891637098737,72.51796872006797,Residential Complex ATM
ATM_000015,Punjab National Bank Bank Branch ATM 15,Punjab National Bank,Delhi,New Delhi,Delhi,Area-45,69472,28.616090074679143,77.21155537706599,Bank Branch ATM
ATM_000016,Bank of Baroda Petrol Station ATM 16,Bank of Baroda,Maharashtra,Pune,Pune,Area-27,63569,18.541200718482763,73.84018670282627,Petrol Station ATM
ATM_000017,Canara Bank Market ATM 17,Canara Bank,Karnataka,Bengaluru Urban,Bengaluru,Area-4,51351,12.982896443923638,77.58376615140253,Market ATM
ATM_000018,Axis Bank Market ATM 18,Axis Bank,Maharashtra,Mumbai City,Mumbai,Area-25,58128,18.994187971275416,72.85766356413873,Market ATM
ATM_000019,Axis Bank Airport ATM 19,Axis Bank,Gujarat,Ahmedabad,Ahmedabad,Area-26,69652,23.00704618103605,72.55527239374688,Airport ATM
ATM_000020,Bank of Baroda Residential Complex ATM 20,Bank of Baroda,Telangana,Hyderabad,Hyderabad,Area-6,53435,17.370707943410704,78.58876699456908,Residential Complex ATM
ATM_000021,Axis Bank Standalone Kiosk 21,Axis Bank,West Bengal,Kolkata,Kolkata,Area-59,54685,22.64000361220316,88.38788148097339,Standalone Kiosk
ATM_000022,IDFC First Bank Market ATM 22,IDFC First Bank,Maharashtra,Nagpur,Nagpur,Area-14,72197,21.142560585113028,79.08585332554065,Market ATM
ATM_000023,HDFC Bank Market ATM 23,HDFC Bank,Gujarat,Surat,Surat,Area-20,57112,21.170037096942902,72.83170476702948,Market ATM
ATM_000024,IDFC First Bank Mall ATM 24,IDFC First Bank,Rajasthan,Jaipur,Jaipur,Area-27,59323,26.909515646004493,75.7819370692034,Mall ATM
ATM_000025,Punjab National Bank Mall ATM 25,Punjab National Bank,West Bengal,Kolkata,Kolkata,Area-50,54510,22.606385073565644,88.30312347833534,Mall ATM
ATM_000026,Kotak Mahindra Bank Mall ATM 26,Kotak Mahindra Bank,Maharashtra,Thane,Navi Mumbai,Area-44,53454,19.119083215737124,73.0401359973329,Mall ATM
ATM_000027,HDFC Bank Bank Branch ATM 27,HDFC Bank,Karnataka,Bengaluru Urban,Bengaluru,Area-46,72828,12.95033523534078,77.57962653879115,Bank Branch ATM
ATM_000028,Punjab National Bank Bank Branch ATM 28,Punjab National Bank,Maharashtra,Mumbai City,Mumbai,Area-14,40439,19.086775723525495,72.97419233300249,Bank Branch ATM
ATM_000029,IDFC First Bank Petrol Station ATM 29,IDFC First Bank,Maharashtra,Thane,Thane,Area-50,76576,19.222644376367352,72.9734345140488,Petrol Station ATM
ATM_000030,Axis Bank Mall ATM 30,Axis Bank,Tamil Nadu,Chennai,Chennai,Area-49,48633,13.080706445177317,80.35957453075774,Mall ATM
ATM_000031,HDFC Bank Residential Complex ATM 31,HDFC Bank,West Bengal,Kolkata,Kolkata,Area-28,46119,22.495626098117945,88.29425663931455,Residential Complex ATM
ATM_000032,Kotak Mahindra Bank Standalone Kiosk 32,Kotak Mahindra Bank,Gujarat,Surat,Surat,Area-33,67563,21.09140764918425,72.80155223359311,Standalone Kiosk
ATM_000033,HDFC Bank Bank Branch ATM 33,HDFC Bank,Maharashtra,Nagpur,Nagpur,Area-3,72410,21.085827579273364,79.13732727685856,Bank Branch ATM
ATM_000034,Axis Bank Bank Branch ATM 34,Axis Bank,Delhi,New Delhi,Delhi,Area-45,76478,28.57410657173998,77.1162926099141,Bank Branch ATM
