complaint_id,complaint_timestamp,incident_timestamp,fraud_type,channel,reported_loss_amount,victim_state,victim_district,victim_city,victim_area,victim_pincode,victim_lat,victim_lon,victim_rural_urban,victim_bank,device_type,is_otp_shared,clicked_malicious_link,urgency_score,account_age_months,num_transactions,fraud_description_category
CASE_000001,2024-12-07 02:50:08.945935086,2024-12-06 23:42:53.334442850,Investment Scam,UPI,6905.5,Telangana,Hyderabad,Hyderabad,Area-50,44685,17.34924967695852,78.50239610742474,Semi-Urban,Kotak Mahindra Bank,Android,1,0,0.761,180,3,Investment Scam
CASE_000002,2024-11-09 07:44:12.802448708,2024-11-09 07:12:31.628322121,UPI Fraud,Wallet,59737.32,West Bengal,Kolkata,Kolkata,Area-40,51514,22.577105713365146,88.38229239292487,Semi-Urban,Kotak Mahindra Bank,Android,0,0,0.38,36,2,UPI Fraud
CASE_000003,2024-01-06 04:46:19.129871978,2024-01-06 03:18:06.106174240,Impersonation (Digital Arrest/Officer),UPI,80208.3,West Bengal,Kolkata,Kolkata,Area-39,81313,22.6375137273501,88.38483483800562,Urban,HDFC Bank,Desktop,0,0,0.679,102,1,Impersonation (Digital Arrest/Officer)
CASE_000004,2026-06-13 21:10:53.628519083,2026-06-13 18:55:38.564652354,UPI Fraud,UPI,8368.9,Rajasthan,Jaipur,Jaipur,Area-46,78517,26.883479681299477,75.79505834566629,Urban,Punjab National Bank,Android,1,0,0.326,62,5,UPI Fraud
CASE_000005,2025-07-06 15:49:23.315417245,2025-07-06 12:38:36.668415621,UPI Fraud,UPI,2668.06,Gujarat,Ahmedabad,Ahmedabad,Area-27,80863,23.072545909994787,72.44525403127831,Urban,Punjab National Bank,iOS,1,1,0.313,163,1,UPI Fraud
CASE_000006,2025-01-01 19:32:00.395740205,2025-01-01 12:30:46.920501739,Investment Scam,Card,110433.9,Maharashtra,Pune,Pune,Area-4,75285,18.520331126499176,73.8561341281899,Urban,Axis Bank,Android,1,0,0.514,154,3,Investment Scam
CASE_000007,2025-05-10 11:37:21.649851269,2025-05-10 08:57:41.478662133,Remote Access Scam,IMPS,30087.25,Karnataka,Bengaluru Urban,Bengaluru,Area-38,74430,12.955353274281766,77.60538725110246,Urban,Canara Bank,Android,1,1,0.843,193,4,Remote Access Scam
CASE_000008,2024-02-06 23:18:04.781686829,2024-02-06 22:04:59.064530457,OTP Fraud,UPI,1991.06,Maharashtra,Nashik,Nashik,Area-38,79990,19.969917047282483,73.76993198670681,Semi-Urban,Canara Bank,Android,1,1,0.614,89,4,OTP Fraud
CASE_000009,2024-06-07 08:45:25.116241974,2024-06-07 04:42:16.151389372,Card Fraud,IMPS,9967.43,Maharashtra,Nagpur,Nagpur,Area-51,66920,21.121042338819567,79.09944106527968,Urban,HDFC Bank,iOS,0,0,0.626,56,5,Card Fraud
CASE_000010,2025-07-21 22:14:32.948704870,2025-07-21 21:08:29.037839398,OTP Fraud,UPI,308288.17,Uttar Pradesh,Lucknow,Lucknow,Area-55,62130,26.819873003100028,80.92991134832427,Semi-Urban,Canara Bank,iOS,0,0,0.817,8,3,OTP Fraud
CASE_000011,2025-04-13 16:12:41.353566017,2025-04-13 11:49:06.448089607,Card Fraud,UPI,13101.95,Tamil Nadu,Chennai,Chennai,Area-20,77576,12.994580630839497,80.26070927636566,Urban,Kotak Mahindra Bank,Android,0,0,0.884,206,1,Card Fraud
CASE_000012,2025-12-18 02:22:58.541435047,2025-12-18 00:36:14.142563172,Remote Access Scam,UPI,7876.34,Madhya Pradesh,Indore,Indore,Area-57,41158,22.700999254165847,75.81416180205571,Urban,Bank of Baroda,Android,0,0,0.291,79,5,Remote Access Scam
