complaint_id,prediction_timestamp,withdrawal_timestamp,withdrawal_delay_hours,time_window_label
CASE_000001,2024-12-07 02:50:08.945935086,2024-12-07 08:07:09.901000011,5.284,2
CASE_000002,2024-11-09 07:44:12.802448708,2024-11-09 11:56:05.229838183,4.198,2
CASE_000003,2024-01-06 04:46:19.129871978,2024-01-06 11:58:59.412129753,7.211,3
CASE_000005,2025-07-06 15:49:23.315417245,2025-07-07 06:13:32.984125688,14.403,4
CASE_000007,2025-05-10 11:37:21.649851269,2025-05-10 14:58:51.793416160,3.358,2
CASE_000008,2024-02-06 23:18:04.781686829,2024-02-07 00:46:02.722645075,1.466,1
CASE_000009,2024-06-07 08:45:25.116241974,2024-06-07 22:13:38.259747337,13.47,4
CASE_000010,2025-07-21 22:14:32.948704870,2025-07-22 02:35:12.848212241,4.344,2
CASE_000019,2024-09-07 18:32:20.220512469,2024-09-08 02:56:54.513224845,8.41,3
CASE_000021,2024-07-13 23:09:19.725372087,2024-07-14 05:05:26.843725665,5.935,2
CASE_000022,2024-06-29 13:22:40.007171609,2024-06-30 02:35:14.330719579,13.21,4
CASE_000024,2024-05-03 15:28:30.434150223,2024-05-03 15:56:30.341624390,0.467,0
CASE_000025,2025-08-23 15:41:02.000924506,2025-08-23 18:59:48.546143454,3.313,2
CASE_000027,2024-01-25 14:32:38.223293163,2024-01-25 19:52:37.227837410,5.333,2
CASE_000028,2024-10-18 04:09:31.423537234,2024-10-18 04:22:38.932773385,0.219,0
CASE_000029,2024-06-23 22:11:48.169828290,2024-06-24 01:39:40.812417640,3.465,2
CASE_000031,2024-10-03 04:23:42.372976708,2024-10-03 10:58:21.045301203,6.577,3
CASE_000033,2024-06-28 09:29:15.660471848,2024-06-28 12:36:29.505751252,3.121,2
CASE_000034,2024-12-06 17:33:48.122471962,2024-12-07 15:56:54.438820771,22.385,4
CASE_000035,2025-07-05 23:17:21.562931265,2025-07-06 04:07:23.229842053,4.834,2
CASE_000037,2024-11-28 07:17:39.414171639,2024-11-28 08:43:16.501278229,1.427,1
CASE_000038,2025-07-24 10:53:41.598159554,2025-07-25 00:02:59.108627591,13.155,4
CASE_000039,2025-03-15 06:05:56.852619078,2025-03-16 02:09:32.797525856,20.06,4
CASE_000042,2024-09-21 04:43:13.728702891,2024-09-21 07:45:52.376157093,3.044,2
CASE_000045,2025-02-28 05:32:15.439565755,2025-02-28 10:33:37.587978589,5.023,2
CASE_000048,2024-06-28 13:39:05.002345215,2024-06-29 03:07:12.070652884,13.469,4
CASE_000050,2025-07-01 13:37:12.652788333,2025-07-01 23:56:12.933942031,10.317,3
CASE_000051,2025-05-02 07:12:14.452430666,2025-05-02 13:59:30.046590092,6.788,3
CASE_000052,2025-04-13 06:33:58.445957453,2025-04-13 12:02:30.032369821,5.475,2
CASE_000055,2025-05-05 01:06:45.740641342,2025-05-05 02:47:54.866849047,1.686,1
CASE_000056,2024-02-14 15:17:32.953683483,2024-02-14 15:26:56.593889038,0.157,0
CASE_000057,2025-02-12 12:59:14.698809655,2025-02-12 13:20:54.996136271,0.361,0
CASE_000060,2024-02-16 10:12:41.716443199,2024-02-16 15:13:13.940239931,5.009,2
CASE_000063,2025-05-13 05:33:37.893953224,2025-05-13 07:24:15.235648705,1.844,1
CASE_000064,2024-01-21 14:19:22.443990734,2024-01-22 01:40:19.892696272,11.349,3
CASE_000065,2025-05-27 12:32:56.458985172,2025-05-27 16:27:03.765706564,3.902,2
CASE_000073,2024-01-20 05:56:13.097864775,2024-01-20 08:20:35.046273981,2.406,1
CASE_000074,2024-08-06 08:37:33.280300599,2024-08-06 14:13:48.399675006,5.604,2
CASE_000077,2024-12-23 14:05:28.557849893,2024-12-23 16:25:14.602726449,2.329,1
CASE_000078,2025-08-21 08:11:46.025801032,2025-08-21 11:34:35.631226553,3.38,2
CASE_000079,2025-07-11 16:24:18.843868515,2025-07-12 02:10:02.651966236,9.762,3
CASE_000082,2024-03-19 07:50:15.593739610,2024-03-19 09:15:55.211707774,1.428,1
CASE_000083,2024-05-24 05:56:18.071517822,2024-05-24 10:51:39.670596949,4.923,2
CASE_000084,2024-05-01 00:55:00.490144612,2024-05-01 07:08:05.022335427,6.218,3
CASE_000090,2024-06-19 15:38:41.117809093,2024-06-19 17:57:40.908426324,2.317,1
CASE_000092,2024-08-31 10:27:56.191317650,2024-08-31 15:03:29.266789089,4.593,2
CASE_000097,2025-09-17 23:20:55.100959634,2025-09-18 05:51:25.464263149,6.508,3
CASE_000098,2024-03-13 05:23:35.469426515,2024-03-13 06:10:08.302426501,0.776,0
CASE_000100,2025-08-09 00:36:30.418965112,2025-08-09 08:27:58.777905413,7.858,3
CASE_000101,2025-02-19 21:57:12.848589406,2025-02-20 07:58:05.756208370,10.015,3
CASE_000104,2025-03-10 19:20:47.835414598,2025-03-10 19:24:09.746284720,0.056,0
CASE_000105,2025-04-29 04:04:32.575153541,2025-04-29 11:30:48.117846948,7.438,3
CASE_000107,2024-03-07 08:22:22.907132225,2024-03-07 08:25:39.802849886,0.055,0
CASE_000110,2024-12-25 16:37:23.930640856,2024-12-25 17:06:21.749268638,0.483,0
CASE_000112,2024-09-12 06:31:55.425355032,2024-09-12 14:36:19.382621533,8.073,3
CASE_000113,2025-01-01 19:59:20.311752741,2025-01-01 21:36:40.871587978,1.622,1
CASE_000115,2024-10-10 19:16:52.391606628,2024-10-10 19:44:02.644379714,0.453,0
CASE_000120,2024-10-25 03:03:30.742619010,2024-10-25 03:21:27.455745980,0.299,0
CASE_000121,2024-02-13 12:02:21.493707881,2024-02-13 12:09:35.688485003,0.121,0
CASE_000122,2024-02-03 14:57:48.109751717,2024-02-03 16:55:04.197764635,1.954,1
CASE_000123,2024-12-24 05:49:07.724681062,2024-12-24 09:08:17.234077233,3.319,2
CASE_000126,2024-11-14 05:16:41.166766924,2024-11-14 07:50:13.190057381,2.559,1
CASE_000128,2025-01-25 15:32:59.547915553,2025-01-25 18:56:20.151010133,3.389,2
CASE_000129,2024-09-09 06:11:43.011455531,2024-09-10 13:54:57.413515144,31.721,4
CASE_000131,2024-07-11 18:15:47.289406088,2024-07-11 20:31:01.923409934,2.254,1
CASE_000133,2024-11-25 01:31:45.075612385,2024-11-25 06:08:46.044842676,4.617,2
CASE_000134,2025-08-22 14:49:13.452071730,2025-08-22 19:47:14.902463312,4.967,2
CASE_000135,2024-12-20 11:38:36.887141860,2024-12-20 18:38:08.148914430,6.992,3
CASE_000137,2025-08-08 09:03:22.436922557,2025-08-09 11:52:42.975943355,26.822,4
CASE_000138,2025-03-20 22:53:09.579743427,2025-03-21 07:06:54.198114264,8.229,3
CASE_000139,2024-04-30 12:40:34.636032199,2024-05-01 01:07:15.374494250,12.445,4
CASE_000141,2025-05-13 04:29:47.845675123,2025-05-13 13:39:00.734315318,9.154,3
CASE_000142,2024-09-16 18:54:08.577729187,2024-09-17 07:24:15.377201805,12.502,4
CASE_000144,2024-02-19 17:29:12.722999333,2024-02-19 18:38:47.124362941,1.16,1
CASE_000145,2024-10-13 05:42:45.126204285,2024-10-13 07:34:36.712137260,1.864,1
CASE_000146,2025-05-04 02:54:51.595515210,2025-05-04 07:40:06.470314761,4.754,2
CASE_000149,2024-08-28 21:08:58.060435705,2024-08-29 09:13:39.355966584,12.078,4
CASE_000150,2024-04-28 18:03:20.909982298,2024-04-28 21:03:56.578263151,3.01,2
CASE_000152,2024-05-23 17:52:00.916985703,2024-05-23 18:13:12.288081859,0.353,0
CASE_000154,2025-06-08 05:41:00.923631422,2025-06-08 13:15:10.793857911,7.569,3
CASE_000155,2025-03-21 12:59:43.873757721,2025-03-21 15:01:10.534560646,2.024,1
CASE_000156,2024-12-16 05:46:13.886474163,2024-12-16 18:17:46.369757624,12.526,4
CASE_000158,2024-05-08 18:48:41.230931561,2024-05-10 00:07:21.374230333,29.311,4
CASE_000160,2025-08-20 12:59:27.681138145,2025-08-20 20:50:35.967428290,7.852,3
CASE_000165,2024-06-16 22:23:44.026439689,2024-06-17 01:42:54.057869537,3.319,2
CASE_000166,2024-03-24 10:28:30.090463868,2024-03-24 11:35:35.119707685,1.118,1
CASE_000173,2025-05-03 14:41:17.408892928,2025-05-03 17:33:06.781728200,2.864,1
CASE_000175,2025-05-14 15:27:34.670597984,2025-05-15 02:15:26.390089942,10.798,3
CASE_000176,2024-05-13 01:02:19.154326166,2024-05-13 16:22:22.512466879,15.334,4
CASE_000177,2024-03-13 07:33:47.119262410,2024-03-13 12:05:17.491606363,4.525,2
CASE_000180,2024-11-15 10:02:11.871279776,2024-11-15 12:38:19.100152155,2.602,1
CASE_000181,2024-11-20 16:55:10.412324796,2024-11-20 19:05:25.783634397,2.171,1
CASE_000182,2024-12-11 11:01:57.265961820,2024-12-11 20:08:13.104974119,9.104,3
CASE_000184,2024-02-27 03:56:59.879822675,2024-02-27 04:41:06.613834730,0.735,0
CASE_000185,2024-04-18 14:27:13.933105213,2024-04-18 20:35:05.399428936,6.131,3
CASE_000187,2025-05-15 13:25:56.585477870,2025-05-15 17:51:53.167023595,4.432,2
CASE_000188,2024-04-27 02:41:05.533700044,2024-04-27 11:35:09.421157739,8.901,3
CASE_000189,2024-02-01 09:51:20.889776571,2024-02-01 12:55:23.074135179,3.067,2
CASE_000190,2024-07-23 07:07:04.757427026,2024-07-23 09:50:56.554438727,2.731,1
CASE_000192,2024-01-13 23:12:35.178408491,2024-01-14 09:38:49.835969087,10.437,3
CASE_000193,2024-07-15 21:50:32.125669891,2024-07-16 15:47:16.295073178,17.946,4
CASE_000197,2024-12-21 06:38:55.805916707,2024-12-21 14:15:07.763911900,7.603,3
CASE_000198,2024-10-18 02:50:50.673422267,2024-10-18 02:51:24.710315278,0.009,0
