account_id,account_type,bank_name,account_age_months,city,state,risk_history,prior_complaint_count,prior_withdrawal_count,linked_account_count,linked_upi_count,is_synthetic_mule,mule_role,first_seen_timestamp,last_activity_timestamp
ACC_000001,mule,Bank of Baroda,228,Hyderabad,Telangana,prior_flagged,2,5,4,3,1,first_hop_mule,2024-06-25 20:51:00.296018483,2026-02-17 11:05:33.421236577
ACC_000002,victim,Yes Bank,197,Nashik,Maharashtra,none,0,0,1,1,0,none,2026-06-05 15:57:41.759597093,2026-06-24 17:09:59.361443460
ACC_000003,ordinary_recipient,ICICI Bank,204,Hyderabad,Telangana,none,0,1,0,1,0,none,2026-04-17 03:21:58.835795194,2026-05-12 04:18:07.588536187
ACC_000004,mule,SBI,175,Delhi,Delhi,none,5,3,5,6,1,first_hop_mule,2025-03-25 23:50:27.628625870,2025-10-24 21:47:20.370954898
ACC_000005,victim,Yes Bank,250,Delhi,Delhi,none,1,0,1,1,0,none,2025-04-15 06:22:58.576710090,2025-12-31 19:23:32.299555385
ACC_000006,suspicious_hub,Yes Bank,217,Lucknow,Uttar Pradesh,none,4,2,14,10,1,hub_account,2025-01-24 11:49:52.878863499,2025-03-09 22:27:45.072182119
ACC_000007,victim,Union Bank of India,136,Jaipur,Rajasthan,none,1,0,3,3,0,none,2025-03-03 03:26:06.591412507,2026-06-29 09:47:51.663370793
ACC_000008,ordinary_recipient,SBI,253,Ahmedabad,Gujarat,none,0,1,0,1,0,none,2024-09-14 05:28:04.293709289,2024-10-14 22:05:42.216528978
ACC_000009,high_volume,IDFC First Bank,112,Hyderabad,Telangana,none,0,0,0,1,0,none,2025-03-28 06:09:46.835343711,2025-12-30 08:35:18.436249901
ACC_000010,intermediary,IndusInd Bank,52,Thane,Maharashtra,none,3,1,3,3,1,intermediary_mule,2025-01-26 00:29:22.596996538,2025-05-01 01:16:46.479661504
ACC_000011,ordinary_recipient,HDFC Bank,244,Hyderabad,Telangana,none,0,0,3,3,0,none,2025-02-01 04:26:28.615741618,2025-10-31 21:26:54.765849292
ACC_000012,victim,Axis Bank,19,Ahmedabad,Gujarat,none,0,0,2,2,0,none,2024-01-19 18:24:20.430764260,2025-10-07 23:53:51.344379490
ACC_000013,victim,ICICI Bank,28,Hyderabad,Telangana,none,0,0,0,1,0,none,2024-10-04 12:06:11.867106561,2025-11-21 11:45:44.084104063
ACC_000014,victim,Yes Bank,61,Pune,Maharashtra,none,1,0,2,1,0,none,2025-02-12 09:57:51.631272122,2026-05-08 03:09:58.082686572
ACC_000015,ordinary_recipient,Axis Bank,164,Delhi,Delhi,none,1,0,1,1,0,none,2024-12-11 13:01:48.100411139,2025-09-04 09:39:33.141944603
ACC_000016,ordinary_recipient,ICICI Bank,126,Chennai,Tamil Nadu,none,0,1,4,3,0,none,2024-07-19 12:30:25.551810637,2025-04-18 14:06:46.536276390
ACC_000017,ordinary_recipient,IDFC First Bank,223,Hyderabad,Telangana,none,0,1,2,2,0,none,2025-07-31 02:16:53.656985320,2025-10-25 06:39:35.425137714
ACC_000018,ordinary_recipient,IndusInd Bank,236,Kolkata,West Bengal,none,0,0,0,1,0,none,2024-12-01 19:48:15.330170479,2025-01-22 08:06:23.708710799
ACC_000019,victim,Punjab National Bank,18,Delhi,Delhi,none,0,0,0,1,0,none,2026-04-19 13:43:55.658727035,2026-05-27 15:53:15.750278806
ACC_000020,victim,Bank of Baroda,229,Jaipur,Rajasthan,none,0,0,2,2,0,none,2025-11-11 21:57:07.395202585,2026-01-24 08:13:19.958014175
ACC_000021,suspicious_hub,Union Bank of India,160,Bengaluru,Karnataka,prior_flagged,4,4,7,5,1,hub_account,2024-11-26 19:59:52.783163369,2025-12-03 08:11:22.613043565
ACC_000022,victim,Union Bank of India,164,Kolkata,West Bengal,none,1,1,0,1,0,none,2024-05-13 09:15:21.539488267,2025-08-14 21:14:26.879476170
ACC_000023,ordinary_recipient,IndusInd Bank,235,Kolkata,West Bengal,prior_flagged,0,0,3,2,0,none,2024-01-21 21:06:29.877966709,2024-05-08 12:41:59.756840943
ACC_000024,ordinary_recipient,Union Bank of India,87,Chennai,Tamil Nadu,none,0,1,2,1,0,none,2026-05-16 08:01:58.027593896,2026-06-23 01:45:09.632684117
ACC_000025,mule,Axis Bank,42,Pune,Maharashtra,none,2,1,1,1,1,cashout_mule,2025-10-10 07:49:20.630407631,2026-01-19 03:53:06.540846049
ACC_000026,intermediary,Union Bank of India,144,Lucknow,Uttar Pradesh,none,3,0,0,1,1,intermediary_mule,2025-03-30 15:24:35.554917738,2025-05-24 17:18:10.417414400
ACC_000027,high_volume,Canara Bank,149,Pune,Maharashtra,none,0,0,3,2,0,none,2024-06-27 17:18:12.377225289,2024-12-30 00:08:12.752229842
ACC_000028,mule,IndusInd Bank,135,Bengaluru,Karnataka,none,0,4,1,1,1,first_hop_mule,2024-11-08 17:12:40.844728850,2025-03-01 10:39:15.698639895
ACC_000029,victim,ICICI Bank,189,Kolkata,West Bengal,prior_flagged,0,0,1,1,0,none,2024-09-30 01:47:18.604469687,2026-06-29 18:55:31.514054026
ACC_000030,intermediary,Yes Bank,136,Chennai,Tamil Nadu,prior_flagged,2,2,1,1,1,intermediary_mule,2026-05-04 10:31:07.400395602,2026-06-17 17:20:02.825755087
