complaint_id,reported_loss_amount,amount_deviation_z,transaction_count_deviation,velocity_1h,velocity_24h,unusual_time_of_day,new_beneficiary_anomaly,sudden_degree_change,is_otp_shared,clicked_malicious_link,urgency_score
CASE_000001,4505.94,-0.1751,4,6,7,0,0,0,0,1,0.829
CASE_000002,10948.26,-0.0556,2,0,5,0,0,0,1,0,0.789
CASE_000005,2360.76,-0.2149,-3,0,0,0,0,0,1,0,0.693
CASE_000006,15658.54,0.0318,-2,1,1,0,0,0,0,0,0.322
CASE_000008,10914.29,-0.0562,0,0,3,1,0,0,1,0,0.79
CASE_000009,12105.45,-0.0341,1,4,4,0,0,0,1,0,0.732
CASE_000010,77410.54,1.1771,1,0,4,0,0,0,0,1,0.879
CASE_000011,6046.35,-0.1465,4,1,7,0,0,0,1,0,0.646
CASE_000012,158463.45,2.6803,2,0,5,0,1,0,0,0,0.677
CASE_000013,152018.29,2.5608,9,7,12,0,0,0,0,1,0.729
CASE_000014,6066.45,-0.1461,1,4,4,0,1,0,1,0,0.356
CASE_000016,8399.7,-0.1029,3,0,6,0,0,0,1,0,0.742
CASE_000017,26625.49,0.2352,-3,0,0,0,1,0,1,0,0.595
CASE_000019,33543.49,0.3635,5,8,8,0,0,0,1,0,0.577
CASE_000020,45950.59,0.5936,-2,1,1,0,0,0,0,0,0.806
CASE_000021,21344.11,0.1372,4,0,7,0,0,0,0,1,0.588
CASE_000022,11344.23,-0.0483,7,7,10,0,1,0,0,0,0.274
CASE_000023,6466.95,-0.1387,6,0,9,0,0,0,0,0,0.536
CASE_000024,2263.38,-0.2167,5,0,8,0,0,0,0,0,0.069
CASE_000025,39477.83,0.4735,-1,2,2,0,0,0,1,0,0.399
CASE_000026,18999.23,0.0937,-3,0,0,0,0,0,0,0,0.154
CASE_000027,21187.84,0.1343,5,8,8,1,0,1,0,0,0.639
CASE_000029,8170.33,-0.1071,0,3,3,1,1,0,0,1,0.584
CASE_000030,7063.95,-0.1276,2,2,5,1,0,0,0,1,0.38
CASE_000031,6463.53,-0.1388,-1,2,2,0,0,0,0,0,0.918
CASE_000032,5447.83,-0.1576,5,0,8,0,0,0,1,0,0.407
CASE_000033,27237.85,0.2465,-3,0,0,0,0,0,1,0,0.798
CASE_000036,78721.59,1.2014,0,3,3,0,1,0,0,0,0.148
CASE_000037,16372.18,0.045,-3,0,0,0,0,0,0,0,0.275
CASE_000038,23431.1,0.1759,1,0,4,0,0,1,1,1,0.469
CASE_000039,16241.9,0.0426,6,0,9,0,0,0,0,1,0.77
CASE_000040,4136.14,-0.1819,1,4,4,0,0,0,0,1,0.481
CASE_000041,11334.69,-0.0484,0,0,3,1,0,0,0,0,0.474
CASE_000042,6315.23,-0.1415,6,5,9,1,0,0,1,1,0.616
CASE_000043,13952.03,0.0001,-1,2,2,0,0,1,1,1,0.409
CASE_000044,56027.37,0.7805,3,6,6,0,1,0,0,1,0.794
CASE_000048,31093.4,0.318,8,4,11,0,0,0,0,0,0.575
CASE_000049,32402.67,0.3423,4,0,7,0,0,1,0,0,0.527
CASE_000050,4855.96,-0.1686,11,0,14,0,0,0,0,0,0.394
CASE_000051,71001.14,1.0582,3,0,6,0,0,0,0,0,0.159
CASE_000052,929.56,-0.2414,1,0,4,0,0,0,0,0,0.663
CASE_000053,4010.34,-0.1843,-2,1,1,1,0,0,0,0,0.416
CASE_000054,381280.13,6.8128,2,0,5,0,0,0,0,1,0.669
CASE_000055,13547.31,-0.0074,2,5,5,0,0,0,1,0,0.645
CASE_000057,7907.0,-0.112,-1,0,2,1,0,0,0,0,0.331
CASE_000058,10985.39,-0.0549,5,0,8,0,0,1,0,0,0.64
CASE_000059,18985.21,0.0935,2,0,5,1,0,0,1,1,0.579
CASE_000061,19194.57,0.0973,-3,0,0,0,0,0,1,1,0.349
CASE_000062,2221.29,-0.2175,7,0,10,0,0,0,1,0,0.171
CASE_000063,9802.18,-0.0769,-1,2,2,1,1,0,1,1,0.196
CASE_000064,41472.82,0.5105,6,9,9,0,0,0,0,0,0.499
CASE_000065,1164.14,-0.2371,0,1,3,0,0,0,1,1,0.55
CASE_000066,59857.42,0.8515,-1,0,2,0,0,0,0,0,0.13
CASE_000068,157928.37,2.6704,5,4,8,1,0,0,1,0,0.74
CASE_000069,9015.93,-0.0914,5,3,8,0,0,0,0,0,0.652
CASE_000070,6318.83,-0.1415,1,0,4,0,0,0,0,1,0.676
CASE_000072,326191.26,5.7911,6,0,9,1,0,0,1,0,0.108
CASE_000073,882.08,-0.2423,5,8,8,0,0,0,0,0,0.531
CASE_000075,98554.73,1.5692,5,0,8,1,0,0,0,0,0.542
CASE_000076,62922.48,0.9083,3,0,6,0,0,0,1,1,0.722
CASE_000077,2002.72,-0.2215,3,0,6,0,0,1,0,1,0.737
CASE_000078,35296.0,0.396,1,4,4,0,1,0,1,1,0.675
CASE_000079,35260.11,0.3953,4,2,7,0,0,0,1,0,0.537
CASE_000082,12842.32,-0.0205,0,0,3,0,1,0,0,1,0.537
CASE_000083,38467.75,0.4548,5,0,8,0,0,1,0,1,0.186
CASE_000084,120495.05,1.9761,-1,2,2,0,1,0,0,0,0.989
CASE_000085,5451.68,-0.1575,0,0,3,0,0,0,0,1,0.305
CASE_000086,3615.29,-0.1916,1,0,4,1,0,1,0,1,0.29
CASE_000089,4147.19,-0.1817,0,0,3,0,0,0,0,1,0.993
CASE_000090,2779.33,-0.2071,0,0,3,0,0,0,1,0,0.648
CASE_000091,87268.59,1.3599,1,0,4,0,0,1,1,0,0.531
CASE_000094,31019.82,0.3167,1,0,4,0,0,0,0,1,0.533
CASE_000095,67451.61,0.9923,0,0,3,0,0,0,0,0,0.585
CASE_000096,11387.13,-0.0475,2,4,5,1,0,0,1,1,0.501
CASE_000097,5990.19,-0.1476,0,0,3,0,1,0,1,1,0.783
CASE_000098,7160.02,-0.1259,2,5,5,0,0,0,0,1,0.415
CASE_000099,32855.24,0.3507,-3,0,0,1,0,0,1,1,0.494
CASE_000100,74323.45,1.1198,4,0,7,0,0,0,0,0,0.663
CASE_000102,61066.43,0.8739,3,0,6,0,0,0,1,0,0.452
CASE_000103,4315.61,-0.1786,3,0,6,0,0,1,1,0,0.382
CASE_000107,3543.8,-0.1929,5,0,8,0,0,0,1,0,0.836
CASE_000108,13126.63,-0.0152,7,0,10,0,0,1,1,0,0.699
CASE_000109,32399.79,0.3423,4,0,7,0,0,0,0,0,0.63
CASE_000110,31920.82,0.3334,6,0,9,0,0,0,0,0,0.847
CASE_000111,5459.95,-0.1574,7,2,10,0,0,0,0,0,0.25
CASE_000112,101478.86,1.6234,1,0,4,1,0,1,0,0,0.894
CASE_000114,11225.4,-0.0505,-3,0,0,0,0,0,0,0,0.42
CASE_000115,1375.85,-0.2331,1,0,4,1,0,0,1,0,0.414
CASE_000116,3624.1,-0.1914,2,0,5,0,0,1,1,0,0.595
CASE_000117,10125.09,-0.0709,4,0,7,1,0,0,0,0,0.671
CASE_000118,6032.58,-0.1468,9,0,12,0,0,0,1,0,0.294
CASE_000119,15992.89,0.038,2,0,5,0,0,1,0,0,0.261
CASE_000120,500.0,-0.2494,1,0,4,0,0,0,0,1,0.902
CASE_000121,22929.69,0.1666,0,2,3,0,0,0,0,1,0.69
CASE_000123,99191.12,1.581,2,5,5,0,0,1,1,0,0.645
CASE_000124,28538.51,0.2706,4,0,7,0,0,1,0,0,0.427
CASE_000125,1629.59,-0.2284,0,2,3,0,0,0,0,1,0.672
CASE_000126,16361.54,0.0448,4,2,7,0,0,0,1,0,0.336
CASE_000127,19755.83,0.1078,1,4,4,0,0,0,0,0,0.505
CASE_000129,75928.06,1.1496,7,0,10,0,0,0,0,0,0.549
CASE_000130,10368.19,-0.0664,-1,2,2,0,0,0,0,0,0.701
CASE_000131,11685.36,-0.0419,-3,0,0,0,1,0,0,0,0.24
CASE_000132,45156.33,0.5788,1,4,4,0,0,0,0,1,0.255
CASE_000133,11524.34,-0.0449,1,0,4,0,0,0,1,0,0.406
CASE_000135,69447.35,1.0294,6,0,9,1,1,0,0,0,0.317
CASE_000136,10297.15,-0.0677,0,3,3,1,1,1,0,0,0.441
CASE_000137,18161.23,0.0782,-1,0,2,1,0,0,0,0,0.193
CASE_000138,4422.38,-0.1766,3,0,6,0,0,0,0,0,0.335
CASE_000139,5999.37,-0.1474,-1,1,2,0,0,0,1,0,0.302
CASE_000140,2695.37,-0.2087,0,1,3,1,0,0,1,1,0.757
CASE_000141,8316.91,-0.1044,4,2,7,0,0,0,1,0,0.202
CASE_000142,21997.74,0.1493,5,0,8,0,0,0,1,0,0.563
CASE_000143,25531.45,0.2149,1,0,4,0,0,0,0,0,0.875
CASE_000144,4583.7,-0.1736,-1,0,2,0,0,0,0,1,0.54
CASE_000145,6360.59,-0.1407,4,7,7,0,0,0,0,0,0.425
CASE_000146,14974.06,0.0191,4,0,7,0,0,0,1,0,0.686
CASE_000147,12675.83,-0.0236,-3,0,0,0,0,1,0,0,0.618
CASE_000149,18758.2,0.0892,1,4,4,1,0,0,0,0,0.531
CASE_000150,32939.73,0.3523,0,1,3,0,0,0,0,0,0.164
CASE_000151,4941.57,-0.167,0,0,3,0,0,0,0,0,0.787
CASE_000152,24356.52,0.1931,-3,0,0,0,0,0,0,0,0.747
CASE_000153,3322.93,-0.197,2,4,5,0,0,0,0,1,0.469
CASE_000154,22329.64,0.1555,-1,0,2,0,0,0,0,0,0.4
CASE_000157,12977.73,-0.018,6,0,9,0,0,0,1,0,0.81
CASE_000158,19215.4,0.0977,1,4,4,0,0,0,0,0,0.54
CASE_000160,3867.84,-0.1869,0,3,3,0,0,1,1,0,0.571
CASE_000161,46854.7,0.6103,4,6,7,0,0,0,1,0,0.649
CASE_000162,10620.4,-0.0617,2,0,5,1,0,0,0,0,0.503
CASE_000163,55255.05,0.7661,2,5,5,1,0,0,1,0,0.594
CASE_000164,7113.38,-0.1267,8,0,11,0,1,0,0,0,0.367
CASE_000165,6335.17,-0.1412,1,4,4,0,0,0,1,0,0.58
CASE_000167,18033.95,0.0758,5,0,8,0,0,1,1,0,0.545
CASE_000168,15598.33,0.0306,4,7,7,0,0,0,1,0,0.118
CASE_000169,991.26,-0.2403,6,6,9,0,0,0,1,1,0.522
CASE_000170,6119.03,-0.1452,1,4,4,0,1,1,1,0,0.744
CASE_000171,11773.71,-0.0403,2,5,5,0,0,0,0,0,0.47
CASE_000172,16252.22,0.0428,-2,1,1,1,0,1,0,1,0.718
CASE_000173,5035.82,-0.1653,5,8,8,0,1,1,0,0,0.493
CASE_000174,9316.81,-0.0859,3,1,6,1,0,0,1,0,0.471
CASE_000175,14112.09,0.0031,3,0,6,0,0,0,1,1,0.763
CASE_000176,41827.62,0.5171,2,1,5,1,0,0,0,0,0.674
CASE_000177,172364.51,2.9381,7,0,10,1,1,0,0,0,0.394
CASE_000178,10053.65,-0.0722,1,4,4,0,0,0,0,0,0.781
CASE_000179,223315.98,3.8831,1,0,4,0,0,0,0,0,0.594
CASE_000180,13905.45,-0.0008,5,8,8,0,0,0,0,0,0.759
CASE_000182,11459.33,-0.0461,0,2,3,0,0,0,0,0,0.915
CASE_000184,25000.19,0.205,-3,0,0,1,0,0,1,1,0.498
CASE_000187,6515.19,-0.1378,3,2,6,1,0,0,0,1,0.311
CASE_000188,4259.79,-0.1796,0,0,3,0,0,1,0,0,0.68
CASE_000189,40672.4,0.4957,4,1,7,0,1,0,0,1,0.4
CASE_000190,7674.37,-0.1163,3,4,6,0,0,0,0,1,0.558
CASE_000191,1125.14,-0.2378,-1,1,2,1,0,0,1,1,0.533
CASE_000193,13144.87,-0.0149,2,5,5,0,0,0,1,0,0.68
CASE_000194,21551.83,0.1411,7,3,10,0,0,1,1,1,0.526
CASE_000196,3980.09,-0.1848,1,0,4,0,0,1,1,0,0.674
CASE_000198,38510.98,0.4556,2,5,5,0,0,1,0,0,0.91
CASE_000201,25504.26,0.2144,0,0,3,1,0,0,1,0,0.434
CASE_000204,27276.18,0.2472,2,2,5,0,0,0,0,1,0.389
CASE_000205,59907.48,0.8524,2,3,5,0,0,0,0,0,0.596
CASE_000206,5192.42,-0.1624,-3,0,0,0,0,0,0,0,0.461
