atm_id,atm_name,bank_name,state,district,city,area,pincode,latitude,longitude,location_type
ATM_000001,Punjab National Bank Standalone Kiosk 1,Punjab National Bank,West Bengal,Kolkata,Kolkata,Area-24,73223,22.50156171641696,88.3232609450634,Standalone Kiosk
ATM_000002,Punjab National Bank Market ATM 2,Punjab National Bank,Delhi,New Delhi,Delhi,Area-31,53230,28.590320664133227,77.1012702876255,Market ATM
ATM_000003,IndusInd Bank Hospital ATM 3,IndusInd Bank,Rajasthan,Jaipur,Jaipur,Area-8,59374,26.883797640099644,75.7221915882012,Hospital ATM
ATM_000004,Union Bank of India Residential Complex ATM 4,Union Bank of India,Tamil Nadu,Chennai,Chennai,Area-50,75789,13.085574966725405,80.32929159612772,Residential Complex ATM
ATM_000005,Yes Bank Mall ATM 5,Yes Bank,Maharashtra,Mumbai City,Mumbai,Area-38,78471,19.16933108214967,72.90252043076957,Mall ATM
ATM_000006,IDFC First Bank Residential Complex ATM 6,IDFC First Bank,Madhya Pradesh,Indore,Indore,Area-31,62872,22.74399112939876,75.81146343175426,Residential Complex ATM
ATM_000007,Bank of Baroda Petrol Station ATM 7,Bank of Baroda,West Bengal,Kolkata,Kolkata,Area-37,70953,22.633583426065368,88.29558866305209,Petrol Station ATM
ATM_000008,IDFC First Bank Bank Branch ATM 8,IDFC First Bank,West Bengal,Kolkata,Kolkata,Area-35,82167,22.578370094863367,88.3630662585591,Bank Branch ATM
ATM_000009,Canara Bank Hospital ATM 9,Canara Bank,Maharashtra,Thane,Thane,Area-26,50739,19.218435009193094,72.9780630133795,Hospital ATM
ATM_000010,Union Bank of India Market ATM 10,Union Bank of India,Delhi,New Delhi,Delhi,Area-11,44176,28.57581250747329,77.16052084942501,Market ATM
ATM_000011,Axis Bank Standalone Kiosk 11,Axis Bank,Delhi,New Delhi,Delhi,Area-29,45164,28.6201657017529,77.20341115262288,Standalone Kiosk
ATM_000012,ICICI Bank Standalone Kiosk 12,ICICI Bank,Uttar Pradesh,Lucknow,Lucknow,Area-48,68347,26.746710939327894,80.98416991123825,Standalone Kiosk
ATM_000013,ICICI Bank University ATM 13,ICICI Bank,Telangana,Hyderabad,Hyderabad,Area-4,80191,17.38513823770431,78.4860938791598,University ATM
ATM_000014,Axis Bank Petrol Station ATM 14,Axis Bank,Gujarat,Ahmedabad,Ahmedabad,Area-24,59696,23.09710045263039,72.54803556032552,Petrol Station ATM
ATM_000015,IndusInd Bank Hospital ATM 15,IndusInd Bank,Delhi,New Delhi,Delhi,Area-49,55743,28.62144351671017,77.18028570600522,Hospital ATM
ATM_000016,IndusInd Bank Bus Terminal ATM 16,IndusInd Bank,Maharashtra,Pune,Pune,Area-35,76674,18.430111183564133,73.91239676244152,Bus Terminal ATM
ATM_000017,HDFC Bank Residential Complex ATM 17,HDFC Bank,Karnataka,Bengaluru Urban,Bengaluru,Area-2,66617,12.941932190952798,77.6240069698115,Residential Complex ATM
ATM_000018,Kotak Mahindra Bank Standalone Kiosk 18,Kotak Mahindra Bank,Maharashtra,Mumbai City,Mumbai,Area-50,82802,19.075238816208334,72.88071522782529,Standalone Kiosk
ATM_000019,IndusInd Bank Petrol Station ATM 19,IndusInd Bank,Gujarat,Ahmedabad,Ahmedabad,Area-4,42794,23.020546118661088,72.57374601009421,Petrol Station ATM
ATM_000020,IDFC First Bank University ATM 20,IDFC First Bank,Telangana,Hyderabad,Hyderabad,Area-29,47882,17.41066784545345,78.43007544930339,University ATM
ATM_000021,Canara Bank Bank Branch ATM 21,Canara Bank,West Bengal,Kolkata,Kolkata,Area-7,53723,22.54059447892203,88.25370118368778,Bank Branch ATM
ATM_000022,Canara Bank Bus Terminal ATM 22,Canara Bank,Maharashtra,Nagpur,Nagpur,Area-17,71419,21.145880408928893,79.20176851539671,Bus Terminal ATM
ATM_000023,Axis Bank Hospital ATM 23,Axis Bank,Gujarat,Surat,Surat,Area-24,81571,21.161473344520914,72.79313560751713,Hospital ATM
ATM_000024,IndusInd Bank Residential Complex ATM 24,IndusInd Bank,Rajasthan,Jaipur,Jaipur,Area-16,58541,26.874495333685395,75.82752292256805,Residential Complex ATM
ATM_000025,SBI Petrol Station ATM 25,SBI,West Bengal,Kolkata,Kolkata,Area-52,53196,22.56244758400855,88.35972393128766,Petrol Station ATM
ATM_000026,Yes Bank Market ATM 26,Yes Bank,Maharashtra,Thane,Navi Mumbai,Area-34,82829,18.99426087767372,73.0731362590878,Market ATM
ATM_000027,Yes Bank Railway Station ATM 27,Yes Bank,Karnataka,Bengaluru Urban,Bengaluru,Area-22,75920,12.907365175197738,77.58558624751629,Railway Station ATM
ATM_000028,Axis Bank Market ATM 28,Axis Bank,Maharashtra,Mumbai City,Mumbai,Area-18,66984,19.07256505339293,72.84921204068351,Market ATM
ATM_000029,Kotak Mahindra Bank Mall ATM 29,Kotak Mahindra Bank,Maharashtra,Thane,Thane,Area-30,82322,19.210472739799563,72.90851195683642,Mall ATM
ATM_000030,Yes Bank University ATM 30,Yes Bank,Tamil Nadu,Chennai,Chennai,Area-20,58185,13.084644834487687,80.1708640586433,University ATM
ATM_000031,Bank of Baroda Market ATM 31,Bank of Baroda,West Bengal,Kolkata,Kolkata,Area-48,70199,22.57251999395184,88.36397073026697,Market ATM
ATM_000032,Axis Bank Mall ATM 32,Axis Bank,Gujarat,Surat,Surat,Area-14,72823,21.16116074378423,72.80639270409836,Mall ATM
ATM_000033,SBI Market ATM 33,SBI,Maharashtra,Nagpur,Nagpur,Area-41,57667,21.147408266590315,79.11247124084058,Market ATM
ATM_000034,Bank of Baroda Residential Complex ATM 34,Bank of Baroda,Delhi,New Delhi,Delhi,Area-27,80779,28.60064136121151,77.21115644094395,Residential Complex ATM
ATM_000035,Axis Bank Standalone Kiosk 35,Axis Bank,Karnataka,Bengaluru Urban,Bengaluru,Area-16,58913,12.95603612179101,77.5854091512788,Standalone Kiosk
ATM_000036,Yes Bank Railway Station ATM 36,Yes Bank,Maharashtra,Thane,Navi Mumbai,Area-28,41303,19.006705997640047,72.96374578273772,Railway Station ATM
ATM_000037,Yes Bank Market ATM 37,Yes Bank,Maharashtra,Thane,Thane,Area-8,54427,19.227747675787704,72.97192510373964,Market ATM
ATM_000038,Axis Bank Market ATM 38,Axis Bank,Karnataka,Bengaluru Urban,Bengaluru,Area-32,68812,12.944663971366856,77.67172854659584,Market ATM
ATM_000039,ICICI Bank Bus Terminal ATM 39,ICICI Bank,Maharashtra,Pune,Pune,Area-43,42333,18.574443005211275,73.77315803015607,Bus Terminal ATM
ATM_000040,Axis Bank Petrol Station ATM 40,Axis Bank,Tamil Nadu,Chennai,Chennai,Area-35,75554,13.045167372525265,80.36604928598756,Petrol Station ATM
ATM_000041,Punjab National Bank Railway Station ATM 41,Punjab National Bank,Delhi,New Delhi,Delhi,Area-1,53498,28.546292228998496,77.18295118990014,Railway Station ATM
ATM_000042,Union Bank of India Market ATM 42,Union Bank of India,Gujarat,Ahmedabad,Ahmedabad,Area-35,66635,23.032556703793233,72.55094919715918,Market ATM
ATM_000043,HDFC Bank Mall ATM 43,HDFC Bank,Tamil Nadu,Chennai,Chennai,Area-2,75988,13.08115168856899,80.26136743115048,Mall ATM
ATM_000044,IndusInd Bank Market ATM 44,IndusInd Bank,Maharashtra,Nashik,Nashik,Area-22,74193,20.01383487000279,73.76954267038853,Market ATM
ATM_000045,Union Bank of India Market ATM 45,Union Bank of India,Gujarat,Ahmedabad,Ahmedabad,Area-38,58535,23.063730284281952,72.46766457492582,Market ATM
ATM_000046,HDFC Bank Standalone Kiosk 46,HDFC Bank,Gujarat,Ahmedabad,Ahmedabad,Area-54,67962,23.005355727913354,72.68289546123016,Standalone Kiosk
ATM_000047,Axis Bank Bank Branch ATM 47,Axis Bank,Delhi,New Delhi,Delhi,Area-58,59412,28.65514787367682,77.20691336036671,Bank Branch ATM
ATM_000048,Union Bank of India Bus Terminal ATM 48,Union Bank of India,Maharashtra,Nashik,Nashik,Area-31,78765,20.029997052582402,73.77534777910549,Bus Terminal ATM
ATM_000049,Kotak Mahindra Bank Petrol Station ATM 49,Kotak Mahindra Bank,Tamil Nadu,Chennai,Chennai,Area-13,59935,13.03278547585797,80.2947452446437,Petrol Station ATM
ATM_000050,Kotak Mahindra Bank Airport ATM 50,Kotak Mahindra Bank,Maharashtra,Thane,Thane,Area-50,53316,19.24845670684504,72.9878611669339,Airport ATM
ATM_000051,SBI Bank Branch ATM 51,SBI,Maharashtra,Thane,Navi Mumbai,Area-21,40173,18.9980672829618,73.13546464477992,Bank Branch ATM
ATM_000052,Punjab National Bank Bank Branch ATM 52,Punjab National Bank,Maharashtra,Mumbai City,Mumbai,Area-33,77168,19.088322895553052,72.85601238640909,Bank Branch ATM
ATM_000053,Canara Bank Residential Complex ATM 53,Canara Bank,West Bengal,Kolkata,Kolkata,Area-12,72165,22.61062098994303,88.35076986714404,Residential Complex ATM
ATM_000054,Union Bank of India Bank Branch ATM 54,Union Bank of India,Tamil Nadu,Chennai,Chennai,Area-22,49415,13.10548834619309,80.22918273501277,Bank Branch ATM
ATM_000055,Bank of Baroda Residential Complex ATM 55,Bank of Baroda,Tamil Nadu,Chennai,Chennai,Area-29,49213,13.071926637571956,80.27908694949228,Residential Complex ATM
ATM_000056,Kotak Mahindra Bank Hospital ATM 56,Kotak Mahindra Bank,West Bengal,Kolkata,Kolkata,Area-44,82464,22.611402576495202,88.37948861887715,Hospital ATM
ATM_000057,ICICI Bank Bank Branch ATM 57,ICICI Bank,Delhi,New Delhi,Delhi,Area-54,58777,28.521845099044373,77.19736787187453,Bank Branch ATM
ATM_000058,IDFC First Bank Bank Branch ATM 58,IDFC First Bank,Telangana,Hyderabad,Hyderabad,Area-11,79368,17.37417744827118,78.4978452768199,Bank Branch ATM
ATM_000059,Union Bank of India Residential Complex ATM 59,Union Bank of India,Maharashtra,Thane,Thane,Area-33,59530,19.263510092683685,73.02477364400542,Residential Complex ATM
ATM_000060,Union Bank of India Railway Station ATM 60,Union Bank of India,Maharashtra,Mumbai City,Mumbai,Area-58,51214,19.110590859655574,72.90640609250188,Railway Station ATM
ATM_000061,Union Bank of India Market ATM 61,Union Bank of India,Tamil Nadu,Chennai,Chennai,Area-1,79727,13.0932500856637,80.2862223041003,Market ATM
ATM_000062,IndusInd Bank Railway Station ATM 62,IndusInd Bank,Karnataka,Bengaluru Urban,Bengaluru,Area-34,69385,12.971965440656048,77.59591618095784,Railway Station ATM
ATM_000063,Yes Bank Standalone Kiosk 63,Yes Bank,Karnataka,Bengaluru Urban,Bengaluru,Area-46,68221,12.972302964139807,77.56428411755678,Standalone Kiosk
ATM_000064,IDFC First Bank Hospital ATM 64,IDFC First Bank,West Bengal,Kolkata,Kolkata,Area-7,45958,22.567678724930484,88.36879849955517,Hospital ATM
