complaint_id,cluster_id,chain_accounts,cashout_account_id,pattern_used
CASE_000001,CLUSTER_0639,ACC_010529|ACC_035263|ACC_037565|ACC_035263,ACC_035263,B
CASE_000002,CLUSTER_0322,ACC_020539|ACC_033235|ACC_031173|ACC_033235,ACC_033235,B
CASE_000003,CLUSTER_0132,ACC_011913|ACC_024226|ACC_011189|ACC_024226|ACC_036183,ACC_036183,B
CASE_000004,CLUSTER_0273,ACC_018817|ACC_016171|ACC_026986|ACC_016171,ACC_016171,B
CASE_000005,CLUSTER_0561,ACC_002568|ACC_025037|ACC_037772|ACC_038921,ACC_038921,A
CASE_000006,CLUSTER_0558,ACC_010634|ACC_019083|ACC_037509|ACC_034565|ACC_002271|ACC_034565|ACC_019083,ACC_019083,B
CASE_000007,CLUSTER_0243,ACC_009429|ACC_001493|ACC_014413,ACC_014413,A
CASE_000008,CLUSTER_0443,ACC_003883|ACC_007979|ACC_028516,ACC_028516,D
CASE_000009,CLUSTER_0112,ACC_002672|ACC_018074|ACC_000594|ACC_018074,ACC_018074,E
CASE_000010,CLUSTER_0114,ACC_028056|ACC_019239|ACC_001618,ACC_001618,A
CASE_000011,CLUSTER_0456,ACC_026978|ACC_012489|ACC_034380|ACC_027565|ACC_027742|ACC_012489,ACC_012489,B
CASE_000012,CLUSTER_0183,ACC_031232|ACC_027590|ACC_027391|ACC_027590|ACC_027391,ACC_027391,D
CASE_000013,CLUSTER_0371,ACC_016082|ACC_000484|ACC_032865|ACC_012003|ACC_032865|ACC_018963|ACC_032865,ACC_032865,A
CASE_000014,CLUSTER_0452,ACC_014671|ACC_002678|ACC_031922|ACC_030460|ACC_004102|ACC_002678,ACC_002678,B
CASE_000015,CLUSTER_0239,ACC_006463|ACC_001156|ACC_007553|ACC_002700,ACC_002700,A
CASE_000016,CLUSTER_0451,ACC_001188|ACC_007066|ACC_009310|ACC_001335|ACC_007066,ACC_007066,D
CASE_000017,CLUSTER_0359,ACC_025212|ACC_015499|ACC_018856,ACC_018856,D
CASE_000018,CLUSTER_0465,ACC_011243|ACC_009198|ACC_037548|ACC_007808,ACC_007808,A
CASE_000019,CLUSTER_0170,ACC_014747|ACC_012021|ACC_023793|ACC_012021|ACC_008436|ACC_012021,ACC_012021,A
CASE_000020,CLUSTER_0149,ACC_026516|ACC_010946|ACC_008019|ACC_010946,ACC_010946,D
CASE_000021,CLUSTER_0463,ACC_019936|ACC_027820|ACC_013821|ACC_013456|ACC_013821,ACC_013821,A
CASE_000022,CLUSTER_0302,ACC_011244|ACC_022587|ACC_033083|ACC_022587|ACC_013614|ACC_032107,ACC_032107,E
CASE_000023,CLUSTER_0268,ACC_030951|ACC_009105|ACC_031822|ACC_007668|ACC_012289|ACC_007668,ACC_007668,D
CASE_000024,CLUSTER_0379,ACC_006114|ACC_037739|ACC_034037|ACC_038498,ACC_038498,A
CASE_000025,CLUSTER_0468,ACC_025131|ACC_019369|ACC_035604|ACC_002218|ACC_007800|ACC_019369,ACC_019369,A
CASE_000026,CLUSTER_0024,ACC_020896|ACC_023779|ACC_009999|ACC_002058,ACC_002058,B
CASE_000027,CLUSTER_0244,ACC_031180|ACC_025099|ACC_029737|ACC_035428|ACC_029737|ACC_025099,ACC_025099,D
CASE_000028,CLUSTER_0243,ACC_019036|ACC_014413|ACC_001493,ACC_001493,B
CASE_000029,CLUSTER_0530,ACC_019297|ACC_037293|ACC_012705|ACC_037293|ACC_035312,ACC_035312,E
CASE_000030,CLUSTER_0149,ACC_007291|ACC_020043|ACC_010946|ACC_007560|ACC_020043,ACC_020043,A
CASE_000031,CLUSTER_0223,ACC_024977|ACC_035532|ACC_011791,ACC_011791,E
CASE_000032,CLUSTER_0408,ACC_011301|ACC_039194|ACC_006820|ACC_039194|ACC_038235,ACC_038235,E
CASE_000033,CLUSTER_0330,ACC_037194|ACC_030971|ACC_035485|ACC_017220|ACC_030971|ACC_000416|ACC_026526,ACC_026526,D
CASE_000034,CLUSTER_0170,ACC_026285|ACC_029713|ACC_038433|ACC_029713|ACC_038433,ACC_038433,D
CASE_000035,CLUSTER_0261,ACC_035143|ACC_003957|ACC_008931,ACC_008931,B
CASE_000036,CLUSTER_0042,ACC_001239|ACC_000189|ACC_028582|ACC_018106,ACC_018106,A
CASE_000037,CLUSTER_0438,ACC_025659|ACC_028272|ACC_028045|ACC_036479,ACC_036479,A
CASE_000038,CLUSTER_0466,ACC_011452|ACC_014538|ACC_004088|ACC_014284,ACC_014284,B
CASE_000039,CLUSTER_0517,ACC_010506|ACC_013171|ACC_019719|ACC_013171|ACC_017907|ACC_015699,ACC_015699,D
CASE_000040,CLUSTER_0266,ACC_008090|ACC_031409|ACC_001015|ACC_031409|ACC_001015|ACC_029013,ACC_029013,A
CASE_000041,CLUSTER_0002,ACC_018225|ACC_034507|ACC_007868|ACC_005686,ACC_005686,D
CASE_000042,CLUSTER_0073,ACC_024856|ACC_014154|ACC_005716|ACC_014154|ACC_012900|ACC_033553|ACC_012900,ACC_012900,A
CASE_000043,CLUSTER_0185,ACC_029054|ACC_036175|ACC_020365|ACC_036175,ACC_036175,E
CASE_000044,CLUSTER_0482,ACC_010879|ACC_002634|ACC_017998|ACC_039175,ACC_039175,D
CASE_000045,CLUSTER_0439,ACC_008538|ACC_039416|ACC_021018|ACC_021418,ACC_021418,D
CASE_000046,CLUSTER_0308,ACC_005398|ACC_035913|ACC_001797|ACC_028269,ACC_028269,A
CASE_000047,CLUSTER_0365,ACC_014145|ACC_020694|ACC_033807,ACC_033807,A
CASE_000048,CLUSTER_0278,ACC_033088|ACC_020267|ACC_031775|ACC_019267|ACC_003924|ACC_031139,ACC_031139,A
CASE_000049,CLUSTER_0408,ACC_028539|ACC_020698|ACC_006820|ACC_020698|ACC_039194|ACC_038235,ACC_038235,D
CASE_000050,CLUSTER_0119,ACC_035610|ACC_008933|ACC_002762|ACC_025404|ACC_003267|ACC_034675,ACC_034675,A
CASE_000051,CLUSTER_0581,ACC_019110|ACC_011168|ACC_012540|ACC_016001|ACC_009646,ACC_009646,A
CASE_000052,CLUSTER_0318,ACC_036038|ACC_011521|ACC_026109|ACC_003447,ACC_003447,A
CASE_000053,CLUSTER_0592,ACC_012395|ACC_023522|ACC_023276,ACC_023276,D
CASE_000054,CLUSTER_0167,ACC_029202|ACC_037498|ACC_028263|ACC_035534,ACC_035534,E
CASE_000055,CLUSTER_0187,ACC_034783|ACC_024679|ACC_018561|ACC_024679|ACC_013033|ACC_023777,ACC_023777,A
CASE_000056,CLUSTER_0639,ACC_037611|ACC_035263|ACC_015049|ACC_035263,ACC_035263,A
CASE_000057,CLUSTER_0190,ACC_021242|ACC_009088|ACC_005704|ACC_017396,ACC_017396,A
CASE_000058,CLUSTER_0277,ACC_032271|ACC_017816|ACC_026608|ACC_017816|ACC_037340,ACC_037340,D
CASE_000059,CLUSTER_0068,ACC_021162|ACC_027970|ACC_031160,ACC_031160,D
CASE_000060,CLUSTER_0162,ACC_025153|ACC_018529|ACC_003030|ACC_018529,ACC_018529,D
CASE_000061,CLUSTER_0122,ACC_019144|ACC_010678|ACC_025555|ACC_010678|ACC_022828,ACC_022828,E
CASE_000062,CLUSTER_0347,ACC_014901|ACC_023171|ACC_004052|ACC_029718|ACC_023171,ACC_023171,A
CASE_000063,CLUSTER_0568,ACC_000823|ACC_023997|ACC_025033|ACC_011577|ACC_036923,ACC_036923,B
CASE_000064,CLUSTER_0631,ACC_022563|ACC_011990|ACC_014247|ACC_011990|ACC_029636|ACC_018020,ACC_018020,B
CASE_000065,CLUSTER_0180,ACC_001665|ACC_005301|ACC_026762|ACC_035879|ACC_005301,ACC_005301,D
CASE_000066,CLUSTER_0086,ACC_035609|ACC_026068|ACC_017927,ACC_017927,B
CASE_000067,CLUSTER_0302,ACC_035631|ACC_013614|ACC_032107|ACC_013614|ACC_032107|ACC_022587,ACC_022587,E
CASE_000068,CLUSTER_0208,ACC_004897|ACC_022574|ACC_020647|ACC_009574|ACC_024430|ACC_022574,ACC_022574,A
CASE_000069,CLUSTER_0302,ACC_003846|ACC_033083|ACC_022587|ACC_000140|ACC_013614|ACC_033083,ACC_033083,E
CASE_000070,CLUSTER_0223,ACC_027489|ACC_035532|ACC_011791,ACC_011791,A
CASE_000071,CLUSTER_0529,ACC_016215|ACC_037249|ACC_021614|ACC_031252,ACC_031252,E
CASE_000072,CLUSTER_0382,ACC_036615|ACC_027898|ACC_032854|ACC_027306|ACC_005858|ACC_022025|ACC_027898,ACC_027898,D
CASE_000073,CLUSTER_0034,ACC_025403|ACC_030974|ACC_012158|ACC_010677,ACC_010677,D
CASE_000074,CLUSTER_0601,ACC_027991|ACC_020189|ACC_009377|ACC_018323|ACC_006239,ACC_006239,B
CASE_000075,CLUSTER_0082,ACC_021296|ACC_014710|ACC_035236|ACC_039649|ACC_019946,ACC_019946,A
CASE_000076,CLUSTER_0119,ACC_018533|ACC_034675|ACC_025404|ACC_034675,ACC_034675,A
CASE_000077,CLUSTER_0581,ACC_013176|ACC_011168|ACC_005159|ACC_012540,ACC_012540,B
CASE_000078,CLUSTER_0173,ACC_031740|ACC_003259|ACC_019840|ACC_003259,ACC_003259,B
CASE_000079,CLUSTER_0371,ACC_014755|ACC_000484|ACC_002652|ACC_012003|ACC_018963,ACC_018963,D
CASE_000080,CLUSTER_0064,ACC_010552|ACC_005371|ACC_036642|ACC_006866|ACC_032284,ACC_032284,B
CASE_000081,CLUSTER_0523,ACC_019454|ACC_009771|ACC_015870|ACC_009771,ACC_009771,D
CASE_000082,CLUSTER_0185,ACC_024646|ACC_020365|ACC_036175|ACC_037694,ACC_037694,E
