complaint_id,complaint_timestamp,incident_timestamp,fraud_type,channel,reported_loss_amount,victim_state,victim_district,victim_city,victim_area,victim_pincode,victim_lat,victim_lon,victim_rural_urban,victim_bank,device_type,is_otp_shared,clicked_malicious_link,urgency_score,account_age_months,num_transactions,fraud_description_category
CASE_000001,2026-04-25 20:34:36.882019431,2026-04-25 18:33:51.496638715,UPI Fraud,IMPS,4505.94,Maharashtra,Thane,Thane,Area-45,81352,19.183148670497904,72.85713686266345,Semi-Urban,Bank of Baroda,Android,0,1,0.829,203,7,UPI Fraud
CASE_000002,2025-07-17 06:35:47.726314890,2025-07-16 23:28:29.161964014,OTP Fraud,UPI,10948.26,Karnataka,Bengaluru Urban,Bengaluru,Area-18,75327,13.101105827147336,77.61294425326324,Urban,Kotak Mahindra Bank,iOS,1,0,0.789,98,3,OTP Fraud
CASE_000003,2026-05-18 17:56:04.281550480,2026-05-18 14:05:57.308839023,Marketplace Fraud (OLX/e-commerce),IMPS,1824.85,Maharashtra,Pune,Pune,Area-12,42974,18.51275926910583,73.85807896828196,Rural,Punjab National Bank,Android,0,0,0.488,175,4,Marketplace Fraud (OLX/e-commerce)
CASE_000004,2024-12-09 22:33:06.955271928,2024-12-09 17:44:40.286036022,Investment Scam,Card,7075.81,Tamil Nadu,Chennai,Chennai,Area-52,40112,13.078315941115397,80.28836649549054,Semi-Urban,ICICI Bank,iOS,1,0,0.486,185,7,Investment Scam
CASE_000005,2024-03-11 06:13:10.240126783,2024-03-11 04:07:29.240712889,UPI Fraud,Net Banking,2360.76,Tamil Nadu,Chennai,Chennai,Area-52,69985,13.049386838917684,80.2742279448716,Semi-Urban,Kotak Mahindra Bank,Android,1,0,0.693,41,4,UPI Fraud
CASE_000006,2026-03-11 10:16:08.443212426,2026-03-11 09:49:00.025640234,Loan App Scam,Wallet,15658.54,Maharashtra,Mumbai City,Mumbai,Area-36,43179,19.16028434844672,72.77425965779366,Urban,Kotak Mahindra Bank,Desktop,0,0,0.322,88,6,Loan App Scam
CASE_000007,2025-03-02 09:07:33.363746301,2025-03-02 02:28:55.149658769,Card Fraud,Card,17137.31,Gujarat,Surat,Surat,Area-48,77457,21.247446783340344,72.94442769428649,Urban,Bank of Baroda,Android,1,1,0.366,17,7,Card Fraud
CASE_000008,2025-02-09 04:01:27.961919728,2025-02-09 00:51:14.394084819,Investment Scam,Wallet,10914.29,Uttar Pradesh,Lucknow,Lucknow,Area-22,47168,26.881160810614322,81.02432338544317,Urban,SBI,Desktop,1,0,0.79,133,2,Investment Scam
CASE_000009,2024-01-12 06:04:01.529480287,2024-01-12 05:00:47.726022229,Loan App Scam,ATM,12105.45,Maharashtra,Thane,Thane,Area-54,42201,19.138455294802036,73.04034501947012,Urban,SBI,Desktop,1,0,0.732,91,4,Loan App Scam
CASE_000010,2025-10-30 08:14:46.945902181,2025-10-29 23:07:09.603854299,Phishing,UPI,77410.54,Karnataka,Bengaluru Urban,Bengaluru,Area-8,56836,13.034985996535791,77.59506511427259,Urban,SBI,Android,0,1,0.879,187,7,Phishing
CASE_000011,2024-09-22 09:34:16.869801834,2024-09-22 06:36:30.928150274,Fake Customer Care,Wallet,6046.35,Maharashtra,Pune,Pune,Area-36,81297,18.641558505300278,73.87345079005128,Urban,SBI,Android,1,0,0.646,59,3,Fake Customer Care
CASE_000012,2026-03-28 09:18:36.817149481,2026-03-28 06:18:39.030320063,Impersonation (Digital Arrest/Officer),UPI,158463.45,Gujarat,Surat,Surat,Area-25,62941,21.177632923185364,72.81743573078874,Semi-Urban,Kotak Mahindra Bank,Android,0,0,0.677,112,6,Impersonation (Digital Arrest/Officer)
CASE_000013,2024-09-27 17:55:04.635447251,2024-09-27 15:25:43.709535092,Investment Scam,NEFT,152018.29,Karnataka,Bengaluru Urban,Bengaluru,Area-9,80234,13.030690716311431,77.50129531074782,Rural,ICICI Bank,Android,0,1,0.729,136,3,Investment Scam
CASE_000014,2025-04-09 20:37:44.426020804,2025-04-09 18:33:30.988818325,Card Fraud,UPI,6066.45,Tamil Nadu,Chennai,Chennai,Area-51,71773,13.116393112797926,80.21417148005736,Rural,SBI,Desktop,1,0,0.356,209,3,Card Fraud
CASE_000015,2026-06-23 14:59:07.781592313,2026-06-23 10:21:15.228208259,Marketplace Fraud (OLX/e-commerce),NEFT,500.0,Madhya Pradesh,Indore,Indore,Area-3,65688,22.708664516567733,75.92328015125746,Urban,SBI,Android,0,0,0.198,62,6,Marketplace Fraud (OLX/e-commerce)
CASE_000016,2024-02-15 08:28:15.172487486,2024-02-15 02:41:06.160179581,Remote Access Scam,UPI,8399.7,Tamil Nadu,Chennai,Chennai,Area-43,51384,13.1102699696682,80.19707896210781,Semi-Urban,Bank of Baroda,Android,1,0,0.742,103,5,Remote Access Scam
CASE_000017,2025-09-23 15:48:34.412901011,2025-09-23 15:24:52.207827598,Card Fraud,UPI,26625.49,Rajasthan,Jaipur,Jaipur,Area-45,42125,26.97504313943229,75.77174153929346,Urban,Punjab National Bank,Android,1,0,0.595,34,2,Card Fraud
CASE_000018,2024-06-05 10:56:20.282224276,2024-06-05 07:17:53.193247182,Investment Scam,Net Banking,2259.5,Maharashtra,Pune,Pune,Area-42,78274,18.447548287998757,73.95103870910148,Urban,Axis Bank,Desktop,1,1,0.258,112,7,Investment Scam
CASE_000019,2025-04-12 14:41:50.169559935,2025-04-12 13:06:05.799509108,UPI Fraud,UPI,33543.49,Maharashtra,Pune,Pune,Area-28,64288,18.491119868574085,73.87152895844633,Urban,Kotak Mahindra Bank,Android,1,0,0.577,198,5,UPI Fraud
CASE_000020,2024-06-23 13:08:11.163138540,2024-06-23 12:30:42.016646639,Impersonation (Digital Arrest/Officer),UPI,45950.59,Delhi,New Delhi,Delhi,Area-11,67826,28.6086440821927,77.22755139277386,Urban,Bank of Baroda,Android,0,0,0.806,5,3,Impersonation (Digital Arrest/Officer)
