complaint_id,prediction_timestamp,withdrawal_timestamp,withdrawal_delay_hours,time_window_label
CASE_000001,2026-04-25 20:34:36.882019431,2026-04-26 00:54:29.044028435,4.331,2
CASE_000002,2025-07-17 06:35:47.726314890,2025-07-17 13:12:44.341326407,6.616,3
CASE_000005,2024-03-11 06:13:10.240126783,2024-03-11 12:33:14.705304578,6.335,3
CASE_000006,2026-03-11 10:16:08.443212426,2026-03-11 19:25:33.400427677,9.157,3
CASE_000008,2025-02-09 04:01:27.961919728,2025-02-09 11:16:28.703593450,7.25,3
CASE_000009,2024-01-12 06:04:01.529480287,2024-01-12 08:58:25.296871165,2.907,1
CASE_000010,2025-10-30 08:14:46.945902181,2025-10-30 14:54:19.498404816,6.659,3
CASE_000011,2024-09-22 09:34:16.869801834,2024-09-22 17:16:22.097152008,7.701,3
CASE_000012,2026-03-28 09:18:36.817149481,2026-03-29 08:23:51.586807506,23.087,4
CASE_000013,2024-09-27 17:55:04.635447251,2024-09-27 22:54:24.868011906,4.989,2
CASE_000014,2025-04-09 20:37:44.426020804,2025-04-10 04:52:15.082835515,8.242,3
CASE_000016,2024-02-15 08:28:15.172487486,2024-02-15 11:00:24.528294158,2.536,1
CASE_000017,2025-09-23 15:48:34.412901011,2025-09-23 17:54:48.339481701,2.104,1
CASE_000019,2025-04-12 14:41:50.169559935,2025-04-12 16:35:28.158980419,1.894,1
CASE_000020,2024-06-23 13:08:11.163138540,2024-06-23 15:13:58.681182654,2.097,1
CASE_000021,2024-06-23 13:30:50.219397381,2024-06-24 00:50:28.382916073,11.327,3
CASE_000022,2026-06-29 23:14:20.387945277,2026-07-01 04:47:21.645610581,29.55,4
CASE_000023,2024-03-12 11:49:38.414206950,2024-03-12 12:56:52.058175350,1.12,1
CASE_000024,2026-05-28 12:31:31.332735460,2026-05-28 14:43:58.887104971,2.208,1
CASE_000025,2024-08-14 17:25:29.624776737,2024-08-14 20:16:43.242439757,2.854,1
CASE_000026,2025-08-09 05:37:27.918644190,2025-08-10 09:41:25.518843502,28.066,4
CASE_000027,2026-01-02 01:42:31.928870561,2026-01-02 03:52:33.065861508,2.167,1
CASE_000029,2025-04-08 02:02:23.664935739,2025-04-08 06:41:16.275229283,4.648,2
CASE_000030,2025-01-03 04:32:17.609651789,2025-01-03 07:32:15.425442817,2.999,1
CASE_000031,2024-12-16 21:15:05.137650397,2024-12-17 14:21:49.886311841,17.112,4
CASE_000032,2025-10-01 16:45:46.431648805,2025-10-01 17:22:26.257557436,0.611,0
CASE_000033,2025-04-05 10:31:18.920375373,2025-04-05 14:10:46.194960946,3.658,2
CASE_000036,2025-11-14 17:49:36.293694374,2025-11-14 21:33:09.005755961,3.726,2
CASE_000037,2025-09-13 18:29:46.617682512,2025-09-13 20:32:44.247564675,2.049,1
CASE_000038,2024-12-03 12:33:34.715932619,2024-12-04 08:56:31.159645329,20.382,4
CASE_000039,2025-12-30 21:40:10.243242370,2026-01-01 00:02:02.064105796,26.364,4
CASE_000040,2026-01-06 21:26:25.147840445,2026-01-07 11:15:43.042495827,13.822,4
CASE_000041,2026-01-08 04:10:16.350202460,2026-01-08 12:13:43.090680737,8.057,3
CASE_000042,2024-10-30 00:07:06.188951005,2024-10-30 01:53:01.677735662,1.765,1
CASE_000043,2026-05-10 23:42:27.428968680,2026-05-11 05:35:22.641258967,5.882,2
CASE_000044,2024-04-23 05:34:42.379201695,2024-04-23 10:56:09.859887083,5.358,2
CASE_000048,2024-09-21 23:55:22.798873891,2024-09-22 06:43:18.116780586,6.799,3
CASE_000049,2024-02-26 16:58:10.610400474,2024-02-26 18:42:27.674423822,1.738,1
CASE_000050,2025-08-16 15:10:26.764548249,2025-08-16 22:10:13.866525749,6.996,3
