complaint_id,reported_loss_amount,amount_deviation_z,transaction_count_deviation,velocity_1h,velocity_24h,unusual_time_of_day,new_beneficiary_anomaly,sudden_degree_change,is_otp_shared,clicked_malicious_link,urgency_score
CASE_000002,10948.26,-0.0556,2,0,5,0,0,0,1,0,0.789
CASE_000005,2360.76,-0.2149,-3,0,0,0,0,0,1,0,0.693
CASE_000008,10914.29,-0.0562,0,0,3,1,0,0,1,0,0.79
CASE_000009,12105.45,-0.0341,1,4,4,0,0,0,1,0,0.732
CASE_000011,6046.35,-0.1465,4,1,7,0,0,0,1,0,0.646
CASE_000013,152018.29,2.5608,9,7,12,0,0,0,0,1,0.729
CASE_000014,6066.45,-0.1461,1,4,4,0,1,0,1,0,0.356
CASE_000016,8399.7,-0.1029,3,0,6,0,0,0,1,0,0.742
CASE_000017,26625.49,0.2352,-3,0,0,0,1,0,1,0,0.595
CASE_000019,33543.49,0.3635,5,8,8,0,0,0,1,0,0.577
CASE_000020,45950.59,0.5936,-2,1,1,0,0,0,0,0,0.806
CASE_000021,21344.11,0.1372,4,0,7,0,0,0,0,1,0.588
CASE_000023,6466.95,-0.1387,6,0,9,0,0,0,0,0,0.536
CASE_000025,39477.83,0.4735,-1,2,2,0,0,0,1,0,0.399
CASE_000026,18999.23,0.0937,-3,0,0,0,0,0,0,0,0.154
CASE_000029,8170.33,-0.1071,0,3,3,1,1,0,0,1,0.584
CASE_000030,7063.95,-0.1276,2,2,5,1,0,0,0,1,0.38
CASE_000031,6463.53,-0.1388,-1,2,2,0,0,0,0,0,0.918
CASE_000033,27237.85,0.2465,-3,0,0,0,0,0,1,0,0.798
CASE_000037,16372.18,0.045,-3,0,0,0,0,0,0,0,0.275
CASE_000038,23431.1,0.1759,1,0,4,0,0,1,1,1,0.469
CASE_000042,6315.23,-0.1415,6,5,9,1,0,0,1,1,0.616
CASE_000044,56027.37,0.7805,3,6,6,0,1,0,0,1,0.794
CASE_000048,31093.4,0.318,8,4,11,0,0,0,0,0,0.575
CASE_000049,32402.67,0.3423,4,0,7,0,0,1,0,0,0.527
CASE_000050,4855.96,-0.1686,11,0,14,0,0,0,0,0,0.394
CASE_000051,71001.14,1.0582,3,0,6,0,0,0,0,0,0.159
CASE_000052,929.56,-0.2414,1,0,4,0,0,0,0,0,0.663
CASE_000054,381280.13,6.8128,2,0,5,0,0,0,0,1,0.669
CASE_000055,13547.31,-0.0074,2,5,5,0,0,0,1,0,0.645
CASE_000057,7907.0,-0.112,-1,0,2,1,0,0,0,0,0.331
CASE_000058,10985.39,-0.0549,5,0,8,0,0,1,0,0,0.64
CASE_000061,19194.57,0.0973,-3,0,0,0,0,0,1,1,0.349
CASE_000063,9802.18,-0.0769,-1,2,2,1,1,0,1,1,0.196
CASE_000064,41472.82,0.5105,6,9,9,0,0,0,0,0,0.499
CASE_000065,1164.14,-0.2371,0,1,3,0,0,0,1,1,0.55
CASE_000066,59857.42,0.8515,-1,0,2,0,0,0,0,0,0.13
CASE_000069,9015.93,-0.0914,5,3,8,0,0,0,0,0,0.652
CASE_000070,6318.83,-0.1415,1,0,4,0,0,0,0,1,0.676
CASE_000073,882.08,-0.2423,5,8,8,0,0,0,0,0,0.531
CASE_000075,98554.73,1.5692,5,0,8,1,0,0,0,0,0.542
