complaint_id,prediction_timestamp,withdrawal_timestamp,withdrawal_delay_hours,time_window_label
CASE_000002,2025-07-17 06:35:47.726314890,2025-07-17 13:12:44.341326407,6.616,3
CASE_000005,2024-03-11 06:13:10.240126783,2024-03-11 12:33:14.705304578,6.335,3
CASE_000008,2025-02-09 04:01:27.961919728,2025-02-09 11:16:28.703593450,7.25,3
CASE_000009,2024-01-12 06:04:01.529480287,2024-01-12 08:58:25.296871165,2.907,1
CASE_000011,2024-09-22 09:34:16.869801834,2024-09-22 17:16:22.097152008,7.701,3
CASE_000013,2024-09-27 17:55:04.635447251,2024-09-27 22:54:24.868011906,4.989,2
CASE_000014,2025-04-09 20:37:44.426020804,2025-04-10 04:52:15.082835515,8.242,3
CASE_000016,2024-02-15 08:28:15.172487486,2024-02-15 11:00:24.528294158,2.536,1
CASE_000017,2025-09-23 15:48:34.412901011,2025-09-23 17:54:48.339481701,2.104,1
CASE_000019,2025-04-12 14:41:50.169559935,2025-04-12 16:35:28.158980419,1.894,1
CASE_000020,2024-06-23 13:08:11.163138540,2024-06-23 15:13:58.681182654,2.097,1
CASE_000021,2024-06-23 13:30:50.219397381,2024-06-24 00:50:28.382916073,11.327,3
CASE_000023,2024-03-12 11:49:38.414206950,2024-03-12 12:56:52.058175350,1.12,1
CASE_000025,2024-08-14 17:25:29.624776737,2024-08-14 20:16:43.242439757,2.854,1
CASE_000026,2025-08-09 05:37:27.918644190,2025-08-10 09:41:25.518843502,28.066,4
CASE_000029,2025-04-08 02:02:23.664935739,2025-04-08 06:41:16.275229283,4.648,2
CASE_000030,2025-01-03 04:32:17.609651789,2025-01-03 07:32:15.425442817,2.999,1
CASE_000031,2024-12-16 21:15:05.137650397,2024-12-17 14:21:49.886311841,17.112,4
CASE_000033,2025-04-05 10:31:18.920375373,2025-04-05 14:10:46.194960946,3.658,2
CASE_000037,2025-09-13 18:29:46.617682512,2025-09-13 20:32:44.247564675,2.049,1
CASE_000038,2024-12-03 12:33:34.715932619,2024-12-04 08:56:31.159645329,20.382,4
CASE_000042,2024-10-30 00:07:06.188951005,2024-10-30 01:53:01.677735662,1.765,1
CASE_000044,2024-04-23 05:34:42.379201695,2024-04-23 10:56:09.859887083,5.358,2
CASE_000048,2024-09-21 23:55:22.798873891,2024-09-22 06:43:18.116780586,6.799,3
CASE_000049,2024-02-26 16:58:10.610400474,2024-02-26 18:42:27.674423822,1.738,1
CASE_000050,2025-08-16 15:10:26.764548249,2025-08-16 22:10:13.866525749,6.996,3
CASE_000051,2025-07-27 15:29:57.000331132,2025-07-28 03:54:43.667604500,12.413,4
CASE_000052,2024-11-16 23:06:00.081335088,2024-11-17 23:16:00.544170354,24.167,4
CASE_000054,2024-04-07 18:36:58.640084578,2024-04-08 07:47:23.966285933,13.174,4
CASE_000055,2025-04-13 22:42:57.442553340,2025-04-14 00:13:09.769737834,1.503,1
CASE_000057,2024-03-31 00:34:29.659837989,2024-03-31 23:58:44.516833680,23.404,4
CASE_000058,2024-03-30 10:26:03.322803889,2024-03-30 11:03:29.293440336,0.624,0
CASE_000061,2025-02-04 21:39:23.593662292,2025-02-05 12:58:17.456925428,15.315,4
CASE_000063,2025-01-23 01:55:35.019151642,2025-01-23 10:01:59.048398933,8.107,3
CASE_000064,2025-06-02 19:35:25.461973584,2025-06-02 21:40:16.076055373,2.081,1
CASE_000065,2024-11-12 18:17:05.061275830,2024-11-13 06:15:14.075449620,11.969,3
CASE_000066,2025-08-10 12:38:19.507801986,2025-08-10 13:05:18.067652080,0.45,0
CASE_000069,2024-07-15 16:10:09.667690798,2024-07-16 08:03:15.787842663,15.885,4
CASE_000070,2024-03-17 22:22:25.893344687,2024-03-18 23:48:33.131712158,25.435,4
CASE_000073,2025-04-10 22:33:20.717827848,2025-04-11 03:51:23.841267369,5.301,2
CASE_000075,2024-06-11 00:39:00.352010685,2024-06-11 04:30:23.015798710,3.856,2
CASE_000077,2024-02-15 19:40:28.307106612,2024-02-16 02:28:32.664217377,6.801,3
CASE_000078,2024-05-14 07:09:41.797963311,2024-05-15 00:22:35.208784333,17.215,4
