upi_id,account_id,first_seen,last_seen,linked_case_count,linked_account_count
UPI_000001,ACC_000001,2024-06-25 20:51:00.296018483,2026-02-17 11:05:33.421236577,0,0
UPI_000002,ACC_000002,2026-06-05 15:57:41.759597093,2026-06-24 17:09:59.361443460,0,0
UPI_000003,ACC_000003,2026-04-17 03:21:58.835795194,2026-05-12 04:18:07.588536187,0,0
UPI_000004,ACC_000004,2025-03-25 23:50:27.628625870,2025-10-24 21:47:20.370954898,0,0
UPI_000005,ACC_000005,2025-04-15 06:22:58.576710090,2025-12-31 19:23:32.299555385,0,0
UPI_000006,ACC_000006,2025-01-24 11:49:52.878863499,2025-03-09 22:27:45.072182119,0,0
UPI_000007,ACC_000006,2025-01-24 11:49:52.878863499,2025-03-09 22:27:45.072182119,0,0
UPI_000008,ACC_000007,2025-03-03 03:26:06.591412507,2026-06-29 09:47:51.663370793,0,0
UPI_000009,ACC_000008,2024-09-14 05:28:04.293709289,2024-10-14 22:05:42.216528978,0,0
UPI_000010,ACC_000009,2025-03-28 06:09:46.835343711,2025-12-30 08:35:18.436249901,0,0
UPI_000011,ACC_000010,2025-01-26 00:29:22.596996538,2025-05-01 01:16:46.479661504,0,0
UPI_000012,ACC_000010,2025-01-26 00:29:22.596996538,2025-05-01 01:16:46.479661504,0,0
UPI_000013,ACC_000011,2025-02-01 04:26:28.615741618,2025-10-31 21:26:54.765849292,0,0
UPI_000014,ACC_000012,2024-01-19 18:24:20.430764260,2025-10-07 23:53:51.344379490,0,0
UPI_000015,ACC_000013,2024-10-04 12:06:11.867106561,2025-11-21 11:45:44.084104063,0,0
UPI_000016,ACC_000014,2025-02-12 09:57:51.631272122,2026-05-08 03:09:58.082686572,0,0
UPI_000017,ACC_000015,2024-12-11 13:01:48.100411139,2025-09-04 09:39:33.141944603,0,0
UPI_000018,ACC_000016,2024-07-19 12:30:25.551810637,2025-04-18 14:06:46.536276390,0,0
UPI_000019,ACC_000017,2025-07-31 02:16:53.656985320,2025-10-25 06:39:35.425137714,0,0
UPI_000020,ACC_000018,2024-12-01 19:48:15.330170479,2025-01-22 08:06:23.708710799,0,0
UPI_000021,ACC_000019,2026-04-19 13:43:55.658727035,2026-05-27 15:53:15.750278806,0,0
UPI_000022,ACC_000020,2025-11-11 21:57:07.395202585,2026-01-24 08:13:19.958014175,0,0
UPI_000023,ACC_000021,2024-11-26 19:59:52.783163369,2025-12-03 08:11:22.613043565,1,1
UPI_000024,ACC_000021,2024-11-26 19:59:52.783163369,2025-12-03 08:11:22.613043565,1,1
UPI_000025,ACC_000022,2024-05-13 09:15:21.539488267,2025-08-14 21:14:26.879476170,0,0
UPI_000026,ACC_000023,2024-01-21 21:06:29.877966709,2024-05-08 12:41:59.756840943,0,0
UPI_000027,ACC_000024,2026-05-16 08:01:58.027593896,2026-06-23 01:45:09.632684117,0,0
UPI_000028,ACC_000025,2025-10-10 07:49:20.630407631,2026-01-19 03:53:06.540846049,0,0
UPI_000029,ACC_000025,2025-10-10 07:49:20.630407631,2026-01-19 03:53:06.540846049,0,0
UPI_000030,ACC_000026,2025-03-30 15:24:35.554917738,2025-05-24 17:18:10.417414400,4,4
UPI_000031,ACC_000027,2024-06-27 17:18:12.377225289,2024-12-30 00:08:12.752229842,0,0
UPI_000032,ACC_000028,2024-11-08 17:12:40.844728850,2025-03-01 10:39:15.698639895,0,0
UPI_000033,ACC_000029,2024-09-30 01:47:18.604469687,2026-06-29 18:55:31.514054026,0,0
UPI_000034,ACC_000030,2026-05-04 10:31:07.400395602,2026-06-17 17:20:02.825755087,188,69
UPI_000035,ACC_000030,2026-05-04 10:31:07.400395602,2026-06-17 17:20:02.825755087,181,62
UPI_000036,ACC_000031,2025-07-09 03:38:12.397212625,2025-07-10 01:30:03.286607980,0,0
UPI_000037,ACC_000032,2025-09-24 18:46:26.554247253,2026-06-05 00:24:18.813230740,2,3
UPI_000038,ACC_000033,2024-10-08 05:20:33.188781098,2025-06-28 01:27:59.460000083,0,0
UPI_000039,ACC_000034,2025-03-21 08:01:43.740169235,2026-04-12 13:39:12.681520325,0,0
UPI_000040,ACC_000035,2025-08-28 12:41:32.252719401,2025-08-31 17:56:27.137161757,0,0
UPI_000041,ACC_000035,2025-08-28 12:41:32.252719401,2025-08-31 17:56:27.137161757,0,0
UPI_000042,ACC_000036,2024-08-22 10:51:56.776508294,2025-03-31 03:37:04.119005135,0,0
UPI_000043,ACC_000036,2024-08-22 10:51:56.776508294,2025-03-31 03:37:04.119005135,0,0
UPI_000044,ACC_000037,2025-03-12 20:27:22.944679327,2025-06-04 00:56:02.519091678,0,0
UPI_000045,ACC_000038,2024-01-20 07:33:25.243323947,2024-08-07 05:47:49.017022417,0,0
UPI_000046,ACC_000039,2025-11-03 18:49:42.869191535,2026-01-11 21:01:58.511657461,0,0
UPI_000047,ACC_000040,2024-03-22 03:06:45.391466434,2025-01-18 22:06:48.914359096,0,0
UPI_000048,ACC_000041,2024-01-19 20:07:46.701632717,2026-01-27 13:52:18.084148301,0,0
UPI_000049,ACC_000042,2024-04-15 17:24:14.680094412,2025-09-02 23:27:21.214827253,0,0
UPI_000050,ACC_000042,2024-04-15 17:24:14.680094412,2025-09-02 23:27:21.214827253,0,0
UPI_000051,ACC_000043,2025-04-21 05:10:20.279646441,2025-07-15 19:40:22.717844179,0,0
UPI_000052,ACC_000044,2025-04-14 16:30:45.217692643,2025-11-04 15:04:15.641790917,0,0
UPI_000053,ACC_000045,2024-03-26 05:32:57.212159402,2024-05-09 01:45:27.677016856,0,0
UPI_000054,ACC_000046,2024-02-24 10:23:31.457108912,2024-05-17 02:23:57.448658024,0,0
UPI_000055,ACC_000046,2024-02-24 10:23:31.457108912,2024-05-17 02:23:57.448658024,0,0
UPI_000056,ACC_000047,2024-04-11 22:24:09.661188034,2024-08-27 03:53:08.114418658,0,0
UPI_000057,ACC_000048,2026-05-09 00:40:52.801874712,2026-05-25 11:22:04.903084900,0,0
UPI_000058,ACC_000049,2025-01-01 16:53:07.136862926,2025-05-22 04:53:55.358782470,0,0
