withdrawal_id,complaint_id,account_id,atm_id,withdrawal_timestamp,withdrawal_amount,latitude,longitude,time_since_fraud,time_since_last_transfer,withdrawal_sequence,withdrawal_success
WD_000001,CASE_000001,ACC_035263,ATM_006022,2026-04-26 00:54:29.044028435,1792.45,26.94171017205929,75.74479794328225,6.344,4.624,1,1
WD_000002,CASE_000002,ACC_033235,ATM_006942,2025-07-17 13:12:44.341326407,3856.09,12.939897260052629,77.57494636816244,13.738,12.813,1,1
WD_000003,CASE_000003,ACC_036183,ATM_001420,2026-05-18 17:28:05.575860678,579.41,21.18029312068491,72.83175112689489,3.369,1.138,1,1
WD_000004,CASE_000004,ACC_016171,ATM_001954,2024-12-09 19:46:43.211280151,3895.6,21.18631157235615,72.94218957542773,2.034,0.168,1,1
WD_000005,CASE_000005,ACC_038921,ATM_004353,2024-03-11 12:33:14.705304578,1085.12,13.07871961806915,80.26885473917234,8.429,4.583,1,0
WD_000006,CASE_000006,ACC_019083,ATM_001023,2026-03-11 19:25:33.400427677,2161.24,22.723733001975727,75.74675203167659,9.609,6.24,1,1
WD_000007,CASE_000007,ACC_014413,ATM_002037,2025-03-02 07:13:13.167704866,6046.28,21.18043115475524,72.93493570839141,4.738,4.201,1,1
WD_000008,CASE_000008,ACC_028516,ATM_004586,2025-02-09 11:16:28.703593450,5084.16,22.54224842766623,88.47287387420594,10.421,8.984,1,1
WD_000009,CASE_000009,ACC_018074,ATM_001064,2024-01-12 08:58:25.296871165,7393.33,17.421430152174565,78.56335559344181,3.96,2.843,1,1
WD_000010,CASE_000010,ACC_001618,ATM_000959,2025-10-30 14:54:19.498404816,47287.57,12.979703826772813,77.58647397274433,15.786,14.905,1,1
WD_000011,CASE_000011,ACC_012489,ATM_003469,2024-09-22 17:16:22.097152008,2206.63,20.007382730379454,73.73700253011367,10.664,8.63,1,1
WD_000012,CASE_000012,ACC_027391,ATM_002006,2026-03-29 08:23:51.586807506,31285.08,26.986200839567264,75.76573368585706,26.087,24.969,1,1
WD_000013,CASE_000013,ACC_032865,ATM_000979,2024-09-27 22:54:24.868011906,18973.9,13.047972515437534,77.53218589526722,7.478,5.501,1,1
